"step","raschka_cpu_Seed45887 - _step","raschka_cpu_Seed45887 - _step__MIN","raschka_cpu_Seed45887 - _step__MAX","raschka_cpu_Seed45887 - grad_norm","raschka_cpu_Seed45887 - grad_norm__MIN","raschka_cpu_Seed45887 - grad_norm__MAX","karpathy_cpu_Seed45887 - _step","karpathy_cpu_Seed45887 - _step__MIN","karpathy_cpu_Seed45887 - _step__MAX","karpathy_cpu_Seed45887 - grad_norm","karpathy_cpu_Seed45887 - grad_norm__MIN","karpathy_cpu_Seed45887 - grad_norm__MAX","raschka_cpu_Seed5678 - _step","raschka_cpu_Seed5678 - _step__MIN","raschka_cpu_Seed5678 - _step__MAX","raschka_cpu_Seed5678 - grad_norm","raschka_cpu_Seed5678 - grad_norm__MIN","raschka_cpu_Seed5678 - grad_norm__MAX","karpathy_cpu_Seed5678 - _step","karpathy_cpu_Seed5678 - _step__MIN","karpathy_cpu_Seed5678 - _step__MAX","karpathy_cpu_Seed5678 - grad_norm","karpathy_cpu_Seed5678 - grad_norm__MIN","karpathy_cpu_Seed5678 - grad_norm__MAX","karpathy_cpu_Seed123 - _step","karpathy_cpu_Seed123 - _step__MIN","karpathy_cpu_Seed123 - _step__MAX","karpathy_cpu_Seed123 - grad_norm","karpathy_cpu_Seed123 - grad_norm__MIN","karpathy_cpu_Seed123 - grad_norm__MAX","raschka_cpu_Seed123 - _step","raschka_cpu_Seed123 - _step__MIN","raschka_cpu_Seed123 - _step__MAX","raschka_cpu_Seed123 - grad_norm","raschka_cpu_Seed123 - grad_norm__MIN","raschka_cpu_Seed123 - grad_norm__MAX"
"0","0","0","0","0","0","0","1","1","1","7.132109642028809","7.132109642028809","7.132109642028809","0","0","0","0","0","0","1","1","1","7.132109642028809","7.132109642028809","7.132109642028809","1","1","1","7.132109642028809","7.132109642028809","7.132109642028809","0","0","0","0","0","0"
"200","1","1","1","0","0","0","3","3","3","5.1110453605651855","5.1110453605651855","5.1110453605651855","1","1","1","0","0","0","3","3","3","5.158820152282715","5.158820152282715","5.158820152282715","3","3","3","5.354757785797119","5.354757785797119","5.354757785797119","1","1","1","0","0","0"
"400","2","2","2","0","0","0","5","5","5","5.861169815063477","5.861169815063477","5.861169815063477","2","2","2","0","0","0","5","5","5","5.826548099517822","5.826548099517822","5.826548099517822","5","5","5","6.195037364959717","6.195037364959717","6.195037364959717","2","2","2","0","0","0"
"600","3","3","3","0","0","0","7","7","7","4.444535732269287","4.444535732269287","4.444535732269287","3","3","3","0","0","0","7","7","7","4.091001033782959","4.091001033782959","4.091001033782959","7","7","7","4.766870498657227","4.766870498657227","4.766870498657227","3","3","3","0","0","0"
"800","4","4","4","0","0","0","9","9","9","3.8558712005615234","3.8558712005615234","3.8558712005615234","4","4","4","4.598892688751221","4.598892688751221","4.598892688751221","9","9","9","3.262495756149292","3.262495756149292","3.262495756149292","9","9","9","3.5281155109405518","3.5281155109405518","3.5281155109405518","4","4","4","4.020260334014893","4.020260334014893","4.020260334014893"
"1000","5","5","5","4.304258346557617","4.304258346557617","4.304258346557617","11","11","11","2.846097469329834","2.846097469329834","2.846097469329834","5","5","5","3.832712173461914","3.832712173461914","3.832712173461914","11","11","11","2.394352912902832","2.394352912902832","2.394352912902832","11","11","11","2.388280153274536","2.388280153274536","2.388280153274536","5","5","5","4.098322868347168","4.098322868347168","4.098322868347168"
"1200","6","6","6","3.7357561588287354","3.7357561588287354","3.7357561588287354","13","13","13","2.1653664112091064","2.1653664112091064","2.1653664112091064","6","6","6","4.3824381828308105","4.3824381828308105","4.3824381828308105","13","13","13","1.9328628778457642","1.9328628778457642","1.9328628778457642","13","13","13","1.9357818365097046","1.9357818365097046","1.9357818365097046","6","6","6","3.74918270111084","3.74918270111084","3.74918270111084"
"1400","7","7","7","3.3922343254089355","3.3922343254089355","3.3922343254089355","15","15","15","1.7581613063812256","1.7581613063812256","1.7581613063812256","7","7","7","3.452422857284546","3.452422857284546","3.452422857284546","15","15","15","1.6213072538375854","1.6213072538375854","1.6213072538375854","15","15","15","1.6798491477966309","1.6798491477966309","1.6798491477966309","7","7","7","3.972790241241455","3.972790241241455","3.972790241241455"
"1600","8","8","8","4.243752956390381","4.243752956390381","4.243752956390381","17","17","17","1.550157904624939","1.550157904624939","1.550157904624939","8","8","8","4.2856059074401855","4.2856059074401855","4.2856059074401855","17","17","17","1.4723079204559326","1.4723079204559326","1.4723079204559326","17","17","17","1.5218864679336548","1.5218864679336548","1.5218864679336548","8","8","8","3.7532031536102295","3.7532031536102295","3.7532031536102295"
"1800","9","9","9","3.9907147884368896","3.9907147884368896","3.9907147884368896","19","19","19","1.4685169458389282","1.4685169458389282","1.4685169458389282","9","9","9","4.165005683898926","4.165005683898926","4.165005683898926","19","19","19","1.4340362548828125","1.4340362548828125","1.4340362548828125","19","19","19","1.4610059261322021","1.4610059261322021","1.4610059261322021","9","9","9","3.8530523777008057","3.8530523777008057","3.8530523777008057"
