"step","raschka_cpu_Seed45887 - _step","raschka_cpu_Seed45887 - _step__MIN","raschka_cpu_Seed45887 - _step__MAX","raschka_cpu_Seed45887 - throughput","raschka_cpu_Seed45887 - throughput__MIN","raschka_cpu_Seed45887 - throughput__MAX","karpathy_cpu_Seed45887 - _step","karpathy_cpu_Seed45887 - _step__MIN","karpathy_cpu_Seed45887 - _step__MAX","karpathy_cpu_Seed45887 - throughput","karpathy_cpu_Seed45887 - throughput__MIN","karpathy_cpu_Seed45887 - throughput__MAX","raschka_cpu_Seed5678 - _step","raschka_cpu_Seed5678 - _step__MIN","raschka_cpu_Seed5678 - _step__MAX","raschka_cpu_Seed5678 - throughput","raschka_cpu_Seed5678 - throughput__MIN","raschka_cpu_Seed5678 - throughput__MAX","karpathy_cpu_Seed5678 - _step","karpathy_cpu_Seed5678 - _step__MIN","karpathy_cpu_Seed5678 - _step__MAX","karpathy_cpu_Seed5678 - throughput","karpathy_cpu_Seed5678 - throughput__MIN","karpathy_cpu_Seed5678 - throughput__MAX","karpathy_cpu_Seed123 - _step","karpathy_cpu_Seed123 - _step__MIN","karpathy_cpu_Seed123 - _step__MAX","karpathy_cpu_Seed123 - throughput","karpathy_cpu_Seed123 - throughput__MIN","karpathy_cpu_Seed123 - throughput__MAX","raschka_cpu_Seed123 - _step","raschka_cpu_Seed123 - _step__MIN","raschka_cpu_Seed123 - _step__MAX","raschka_cpu_Seed123 - throughput","raschka_cpu_Seed123 - throughput__MIN","raschka_cpu_Seed123 - throughput__MAX"
"0","0","0","0","268.6463651788031","268.6463651788031","268.6463651788031","1","1","1","141.78694894511852","141.78694894511852","141.78694894511852","0","0","0","246.94241163284894","246.94241163284894","246.94241163284894","1","1","1","138.23822921885005","138.23822921885005","138.23822921885005","1","1","1","143.75122862215522","143.75122862215522","143.75122862215522","0","0","0","262.6502033301233","262.6502033301233","262.6502033301233"
"200","1","1","1","259.68858451986074","259.68858451986074","259.68858451986074","3","3","3","139.599046578381","139.599046578381","139.599046578381","1","1","1","265.66682670948285","265.66682670948285","265.66682670948285","3","3","3","141.21908097703502","141.21908097703502","141.21908097703502","3","3","3","139.88231023761642","139.88231023761642","139.88231023761642","1","1","1","263.2634070383614","263.2634070383614","263.2634070383614"
"400","2","2","2","271.2223764156763","271.2223764156763","271.2223764156763","5","5","5","140.995861715327","140.995861715327","140.995861715327","2","2","2","260.08987698025885","260.08987698025885","260.08987698025885","5","5","5","141.0422721028921","141.0422721028921","141.0422721028921","5","5","5","140.37866005211765","140.37866005211765","140.37866005211765","2","2","2","274.94714399499253","274.94714399499253","274.94714399499253"
"600","3","3","3","267.84897505514374","267.84897505514374","267.84897505514374","7","7","7","141.70854346032857","141.70854346032857","141.70854346032857","3","3","3","272.14714723792935","272.14714723792935","272.14714723792935","7","7","7","140.5166985901553","140.5166985901553","140.5166985901553","7","7","7","139.56260506065334","139.56260506065334","139.56260506065334","3","3","3","269.06097485156175","269.06097485156175","269.06097485156175"
"800","4","4","4","259.6575306677504","259.6575306677504","259.6575306677504","9","9","9","141.47934552177568","141.47934552177568","141.47934552177568","4","4","4","261.504728386062","261.504728386062","261.504728386062","9","9","9","140.27019858067686","140.27019858067686","140.27019858067686","9","9","9","139.81359226335027","139.81359226335027","139.81359226335027","4","4","4","272.1060010413195","272.1060010413195","272.1060010413195"
"1000","5","5","5","256.3683678381056","256.3683678381056","256.3683678381056","11","11","11","139.99375437310653","139.99375437310653","139.99375437310653","5","5","5","258.25589204557116","258.25589204557116","258.25589204557116","11","11","11","140.5335471510001","140.5335471510001","140.5335471510001","11","11","11","139.23278636475646","139.23278636475646","139.23278636475646","5","5","5","256.87194063529233","256.87194063529233","256.87194063529233"
"1200","6","6","6","260.36098023298564","260.36098023298564","260.36098023298564","13","13","13","140.05211073833524","140.05211073833524","140.05211073833524","6","6","6","266.0110093073069","266.0110093073069","266.0110093073069","13","13","13","137.363001622239","137.363001622239","137.363001622239","13","13","13","140.1657308724373","140.1657308724373","140.1657308724373","6","6","6","267.5734474116428","267.5734474116428","267.5734474116428"
"1400","7","7","7","259.5201343189346","259.5201343189346","259.5201343189346","15","15","15","140.1447746027412","140.1447746027412","140.1447746027412","7","7","7","255.85620470153677","255.85620470153677","255.85620470153677","15","15","15","138.78342063507066","138.78342063507066","138.78342063507066","15","15","15","140.85095171613926","140.85095171613926","140.85095171613926","7","7","7","257.91673127097494","257.91673127097494","257.91673127097494"
"1600","8","8","8","259.73600059780966","259.73600059780966","259.73600059780966","17","17","17","140.27581754030342","140.27581754030342","140.27581754030342","8","8","8","253.5935980652344","253.5935980652344","253.5935980652344","17","17","17","141.440618610322","141.440618610322","141.440618610322","17","17","17","139.46920331743095","139.46920331743095","139.46920331743095","8","8","8","258.0463898952923","258.0463898952923","258.0463898952923"
"1800","9","9","9","266.734104215128","266.734104215128","266.734104215128","19","19","19","139.42326554108115","139.42326554108115","139.42326554108115","9","9","9","258.3864409603245","258.3864409603245","258.3864409603245","19","19","19","139.34444302539495","139.34444302539495","139.34444302539495","19","19","19","140.60207958115384","140.60207958115384","140.60207958115384","9","9","9","268.253102342445","268.253102342445","268.253102342445"
"2000","10","10","10","269.4484162306171","269.4484162306171","269.4484162306171","21","21","21","141.12056085385063","141.12056085385063","141.12056085385063","10","10","10","267.23718199966316","267.23718199966316","267.23718199966316","21","21","21","140.12413089344315","140.12413089344315","140.12413089344315","21","21","21","137.6630888040578","137.6630888040578","137.6630888040578","10","10","10","259.6483236793493","259.6483236793493","259.6483236793493"
"2200","11","11","11","263.52016962088715","263.52016962088715","263.52016962088715","23","23","23","138.2727069216512","138.2727069216512","138.2727069216512","11","11","11","242.31989422714005","242.31989422714005","242.31989422714005","23","23","23","138.5603791531209","138.5603791531209","138.5603791531209","23","23","23","138.3986517967488","138.3986517967488","138.3986517967488","11","11","11","269.4061185478101","269.4061185478101","269.4061185478101"
"2400","12","12","12","261.54977065727434","261.54977065727434","261.54977065727434","25","25","25","141.3985797548548","141.3985797548548","141.3985797548548","12","12","12","257.67724025061756","257.67724025061756","257.67724025061756","25","25","25","141.01894617922508","141.01894617922508","141.01894617922508","25","25","25","138.29398646801553","138.29398646801553","138.29398646801553","12","12","12","266.1520465098472","266.1520465098472","266.1520465098472"
"2600","13","13","13","262.35420975633616","262.35420975633616","262.35420975633616","27","27","27","139.19060149383603","139.19060149383603","139.19060149383603","13","13","13","258.74916124501135","258.74916124501135","258.74916124501135","27","27","27","140.13825620316763","140.13825620316763","140.13825620316763","27","27","27","139.60323016706084","139.60323016706084","139.60323016706084","13","13","13","275.92228100510505","275.92228100510505","275.92228100510505"
"2800","14","14","14","265.00870054629274","265.00870054629274","265.00870054629274","29","29","29","137.84216275005264","137.84216275005264","137.84216275005264","14","14","14","244.55983818386463","244.55983818386463","244.55983818386463","29","29","29","140.3826450167851","140.3826450167851","140.3826450167851","29","29","29","139.47712488725853","139.47712488725853","139.47712488725853","14","14","14","264.20842460357676","264.20842460357676","264.20842460357676"
"3000","15","15","15","258.3694689787774","258.3694689787774","258.3694689787774","31","31","31","141.3820769777779","141.3820769777779","141.3820769777779","15","15","15","266.01721344574906","266.01721344574906","266.01721344574906","31","31","31","141.1564543713299","141.1564543713299","141.1564543713299","31","31","31","135.8309196727775","135.8309196727775","135.8309196727775","15","15","15","263.24148827493525","263.24148827493525","263.24148827493525"
"3200","16","16","16","267.76141970286585","267.76141970286585","267.76141970286585","33","33","33","141.68933892595365","141.68933892595365","141.68933892595365","16","16","16","250.4652204837174","250.4652204837174","250.4652204837174","33","33","33","143.01090309109517","143.01090309109517","143.01090309109517","33","33","33","139.16189800518404","139.16189800518404","139.16189800518404","16","16","16","269.7181229232901","269.7181229232901","269.7181229232901"
"3400","17","17","17","260.00135708991223","260.00135708991223","260.00135708991223","35","35","35","140.05348538225044","140.05348538225044","140.05348538225044","17","17","17","254.31140083787048","254.31140083787048","254.31140083787048","35","35","35","140.2829077383156","140.2829077383156","140.2829077383156","35","35","35","139.48082102186507","139.48082102186507","139.48082102186507","17","17","17","273.05532003885634","273.05532003885634","273.05532003885634"
