"step","raschka_cpu_Seed45887 - _step","raschka_cpu_Seed45887 - _step__MIN","raschka_cpu_Seed45887 - _step__MAX","raschka_cpu_Seed45887 - learning_rate","raschka_cpu_Seed45887 - learning_rate__MIN","raschka_cpu_Seed45887 - learning_rate__MAX","karpathy_cpu_Seed45887 - _step","karpathy_cpu_Seed45887 - _step__MIN","karpathy_cpu_Seed45887 - _step__MAX","karpathy_cpu_Seed45887 - learning_rate","karpathy_cpu_Seed45887 - learning_rate__MIN","karpathy_cpu_Seed45887 - learning_rate__MAX","raschka_cpu_Seed5678 - _step","raschka_cpu_Seed5678 - _step__MIN","raschka_cpu_Seed5678 - _step__MAX","raschka_cpu_Seed5678 - learning_rate","raschka_cpu_Seed5678 - learning_rate__MIN","raschka_cpu_Seed5678 - learning_rate__MAX","karpathy_cpu_Seed5678 - _step","karpathy_cpu_Seed5678 - _step__MIN","karpathy_cpu_Seed5678 - _step__MAX","karpathy_cpu_Seed5678 - learning_rate","karpathy_cpu_Seed5678 - learning_rate__MIN","karpathy_cpu_Seed5678 - learning_rate__MAX","karpathy_cpu_Seed123 - _step","karpathy_cpu_Seed123 - _step__MIN","karpathy_cpu_Seed123 - _step__MAX","karpathy_cpu_Seed123 - learning_rate","karpathy_cpu_Seed123 - learning_rate__MIN","karpathy_cpu_Seed123 - learning_rate__MAX","raschka_cpu_Seed123 - _step","raschka_cpu_Seed123 - _step__MIN","raschka_cpu_Seed123 - _step__MAX","raschka_cpu_Seed123 - learning_rate","raschka_cpu_Seed123 - learning_rate__MIN","raschka_cpu_Seed123 - learning_rate__MAX"
"0","0","0","0","0.00005","0.00005","0.00005","1","1","1","5.0000000000000004e-8","5.0000000000000004e-8","5.0000000000000004e-8","0","0","0","0.00005","0.00005","0.00005","1","1","1","6.25e-8","6.25e-8","6.25e-8","1","1","1","6.25e-8","6.25e-8","6.25e-8","0","0","0","0.00005","0.00005","0.00005"
"200","1","1","1","0.00005","0.00005","0.00005","3","3","3","0.00001005","0.00001005","0.00001005","1","1","1","0.00005","0.00005","0.00005","3","3","3","0.0000125625","0.0000125625","0.0000125625","3","3","3","0.0000125625","0.0000125625","0.0000125625","1","1","1","0.00005","0.00005","0.00005"
"400","2","2","2","0.00005","0.00005","0.00005","5","5","5","0.000020050000000000003","0.000020050000000000003","0.000020050000000000003","2","2","2","0.00005","0.00005","0.00005","5","5","5","0.000025062500000000003","0.000025062500000000003","0.000025062500000000003","5","5","5","0.000025062500000000003","0.000025062500000000003","0.000025062500000000003","2","2","2","0.00005","0.00005","0.00005"
"600","3","3","3","0.00005","0.00005","0.00005","7","7","7","0.000030050000000000002","0.000030050000000000002","0.000030050000000000002","3","3","3","0.00005","0.00005","0.00005","7","7","7","0.0000375625","0.0000375625","0.0000375625","7","7","7","0.0000375625","0.0000375625","0.0000375625","3","3","3","0.00005","0.00005","0.00005"
"800","4","4","4","0.00005","0.00005","0.00005","9","9","9","0.000040050000000000004","0.000040050000000000004","0.000040050000000000004","4","4","4","0.00005","0.00005","0.00005","9","9","9","0.00005","0.00005","0.00005","9","9","9","0.00005","0.00005","0.00005","4","4","4","0.00005","0.00005","0.00005"
"1000","5","5","5","0.00005","0.00005","0.00005","11","11","11","0.00005","0.00005","0.00005","5","5","5","0.00004992509422067075","0.00004992509422067075","0.00004992509422067075","11","11","11","0.00004992509422067075","0.00004992509422067075","0.00004992509422067075","11","11","11","0.00004992509422067075","0.00004992509422067075","0.00004992509422067075","5","5","5","0.00004992509422067075","0.00004992509422067075","0.00004992509422067075"
"1200","6","6","6","0.00004992104725522491","0.00004992104725522491","0.00004992104725522491","13","13","13","0.00004992104725522491","0.00004992104725522491","0.00004992104725522491","6","6","6","0.00004970087562719649","0.00004970087562719649","0.00004970087562719649","13","13","13","0.00004970087562719649","0.00004970087562719649","0.00004970087562719649","13","13","13","0.00004970087562719649","0.00004970087562719649","0.00004970087562719649","6","6","6","0.00004970087562719649","0.00004970087562719649","0.00004970087562719649"
"1400","7","7","7","0.00004968474311298031","0.00004968474311298031","0.00004968474311298031","15","15","15","0.00004968474311298031","0.00004968474311298031","0.00004968474311298031","7","7","7","0.00004932883713233139","0.00004932883713233139","0.00004932883713233139","15","15","15","0.00004932883713233139","0.00004932883713233139","0.00004932883713233139","15","15","15","0.00004932883713233139","0.00004932883713233139","0.00004932883713233139","7","7","7","0.00004932883713233139","0.00004932883713233139","0.00004932883713233139"
"1600","8","8","8","0.00004929274596087793","0.00004929274596087793","0.00004929274596087793","17","17","17","0.00004929274596087793","0.00004929274596087793","0.00004929274596087793","8","8","8","0.00004881145587682196","0.00004881145587682196","0.00004881145587682196","17","17","17","0.00004881145587682196","0.00004881145587682196","0.00004881145587682196","17","17","17","0.00004881145587682196","0.00004881145587682196","0.00004881145587682196","8","8","8","0.00004881145587682196","0.00004881145587682196","0.00004881145587682196"
"1800","9","9","9","0.000048747806843460214","0.000048747806843460214","0.000048747806843460214","19","19","19","0.000048747806843460214","0.000048747806843460214","0.000048747806843460214","9","9","9","0.00004815217673588193","0.00004815217673588193","0.00004815217673588193","19","19","19","0.00004815217673588193","0.00004815217673588193","0.00004815217673588193","19","19","19","0.00004815217673588193","0.00004815217673588193","0.00004815217673588193","9","9","9","0.00004815217673588193","0.00004815217673588193","0.00004815217673588193"
