"step","raschka_cpu_Seed45887 - _step","raschka_cpu_Seed45887 - _step__MIN","raschka_cpu_Seed45887 - _step__MAX","raschka_cpu_Seed45887 - memory_usage","raschka_cpu_Seed45887 - memory_usage__MIN","raschka_cpu_Seed45887 - memory_usage__MAX","karpathy_cpu_Seed45887 - _step","karpathy_cpu_Seed45887 - _step__MIN","karpathy_cpu_Seed45887 - _step__MAX","karpathy_cpu_Seed45887 - memory_usage","karpathy_cpu_Seed45887 - memory_usage__MIN","karpathy_cpu_Seed45887 - memory_usage__MAX","raschka_cpu_Seed5678 - _step","raschka_cpu_Seed5678 - _step__MIN","raschka_cpu_Seed5678 - _step__MAX","raschka_cpu_Seed5678 - memory_usage","raschka_cpu_Seed5678 - memory_usage__MIN","raschka_cpu_Seed5678 - memory_usage__MAX","karpathy_cpu_Seed5678 - _step","karpathy_cpu_Seed5678 - _step__MIN","karpathy_cpu_Seed5678 - _step__MAX","karpathy_cpu_Seed5678 - memory_usage","karpathy_cpu_Seed5678 - memory_usage__MIN","karpathy_cpu_Seed5678 - memory_usage__MAX","karpathy_cpu_Seed123 - _step","karpathy_cpu_Seed123 - _step__MIN","karpathy_cpu_Seed123 - _step__MAX","karpathy_cpu_Seed123 - memory_usage","karpathy_cpu_Seed123 - memory_usage__MIN","karpathy_cpu_Seed123 - memory_usage__MAX","raschka_cpu_Seed123 - _step","raschka_cpu_Seed123 - _step__MIN","raschka_cpu_Seed123 - _step__MAX","raschka_cpu_Seed123 - memory_usage","raschka_cpu_Seed123 - memory_usage__MIN","raschka_cpu_Seed123 - memory_usage__MAX"
"0","0","0","0","5472.35546875","5472.35546875","5472.35546875","1","1","1","3449.6640625","3449.6640625","3449.6640625","0","0","0","4919.02734375","4919.02734375","4919.02734375","1","1","1","3444.71484375","3444.71484375","3444.71484375","1","1","1","3341.39453125","3341.39453125","3341.39453125","0","0","0","5384.0625","5384.0625","5384.0625"
"200","1","1","1","5995.28125","5995.28125","5995.28125","3","3","3","3199.6953125","3199.6953125","3199.6953125","1","1","1","5457.8046875","5457.8046875","5457.8046875","3","3","3","3200.15625","3200.15625","3200.15625","3","3","3","3200.21875","3200.21875","3200.21875","1","1","1","5657.31640625","5657.31640625","5657.31640625"
"400","2","2","2","5739.8359375","5739.8359375","5739.8359375","5","5","5","3197.69921875","3197.69921875","3197.69921875","2","2","2","5443.48828125","5443.48828125","5443.48828125","5","5","5","3199.15625","3199.15625","3199.15625","5","5","5","3199.21875","3199.21875","3199.21875","2","2","2","5680.359375","5680.359375","5680.359375"
"600","3","3","3","6002.828125","6002.828125","6002.828125","7","7","7","3197.69921875","3197.69921875","3197.69921875","3","3","3","5442.01953125","5442.01953125","5442.01953125","7","7","7","3197.1640625","3197.1640625","3197.1640625","7","7","7","3199.21875","3199.21875","3199.21875","3","3","3","5894.08203125","5894.08203125","5894.08203125"
"800","4","4","4","5734.69921875","5734.69921875","5734.69921875","9","9","9","3200.6953125","3200.6953125","3200.6953125","4","4","4","5456.72265625","5456.72265625","5456.72265625","9","9","9","3197.1640625","3197.1640625","3197.1640625","9","9","9","3199.21875","3199.21875","3199.21875","4","4","4","5841.26171875","5841.26171875","5841.26171875"
"1000","5","5","5","5724.66015625","5724.66015625","5724.66015625","11","11","11","3199.69140625","3199.69140625","3199.69140625","5","5","5","5449.6796875","5449.6796875","5449.6796875","11","11","11","3199.16015625","3199.16015625","3199.16015625","11","11","11","3199.21875","3199.21875","3199.21875","5","5","5","5905.078125","5905.078125","5905.078125"
"1200","6","6","6","5729.40234375","5729.40234375","5729.40234375","13","13","13","3200.45703125","3200.45703125","3200.45703125","6","6","6","5551.8984375","5551.8984375","5551.8984375","13","13","13","3199.92578125","3199.92578125","3199.92578125","13","13","13","3200.984375","3200.984375","3200.984375","6","6","6","5855.36328125","5855.36328125","5855.36328125"
"1400","7","7","7","5937.4609375","5937.4609375","5937.4609375","15","15","15","3200.45703125","3200.45703125","3200.45703125","7","7","7","5675.953125","5675.953125","5675.953125","15","15","15","3200.92578125","3200.92578125","3200.92578125","15","15","15","3200.984375","3200.984375","3200.984375","7","7","7","5675.359375","5675.359375","5675.359375"
"1600","8","8","8","5719.25","5719.25","5719.25","17","17","17","3201.45703125","3201.45703125","3201.45703125","8","8","8","5437.98828125","5437.98828125","5437.98828125","17","17","17","3200.92578125","3200.92578125","3200.92578125","17","17","17","3200.984375","3200.984375","3200.984375","8","8","8","5899.95703125","5899.95703125","5899.95703125"
"1800","9","9","9","5750.32421875","5750.32421875","5750.32421875","19","19","19","3200.45703125","3200.45703125","3200.45703125","9","9","9","5453.23046875","5453.23046875","5453.23046875","19","19","19","3200.92578125","3200.92578125","3200.92578125","19","19","19","3199.984375","3199.984375","3199.984375","9","9","9","5840.33984375","5840.33984375","5840.33984375"
