"step","raschka_cpu_Seed45887 - _step","raschka_cpu_Seed45887 - _step__MIN","raschka_cpu_Seed45887 - _step__MAX","raschka_cpu_Seed45887 - time_per_step_ms","raschka_cpu_Seed45887 - time_per_step_ms__MIN","raschka_cpu_Seed45887 - time_per_step_ms__MAX","karpathy_cpu_Seed45887 - _step","karpathy_cpu_Seed45887 - _step__MIN","karpathy_cpu_Seed45887 - _step__MAX","karpathy_cpu_Seed45887 - time_per_step_ms","karpathy_cpu_Seed45887 - time_per_step_ms__MIN","karpathy_cpu_Seed45887 - time_per_step_ms__MAX","raschka_cpu_Seed5678 - _step","raschka_cpu_Seed5678 - _step__MIN","raschka_cpu_Seed5678 - _step__MAX","raschka_cpu_Seed5678 - time_per_step_ms","raschka_cpu_Seed5678 - time_per_step_ms__MIN","raschka_cpu_Seed5678 - time_per_step_ms__MAX","karpathy_cpu_Seed5678 - _step","karpathy_cpu_Seed5678 - _step__MIN","karpathy_cpu_Seed5678 - _step__MAX","karpathy_cpu_Seed5678 - time_per_step_ms","karpathy_cpu_Seed5678 - time_per_step_ms__MIN","karpathy_cpu_Seed5678 - time_per_step_ms__MAX","karpathy_cpu_Seed123 - _step","karpathy_cpu_Seed123 - _step__MIN","karpathy_cpu_Seed123 - _step__MAX","karpathy_cpu_Seed123 - time_per_step_ms","karpathy_cpu_Seed123 - time_per_step_ms__MIN","karpathy_cpu_Seed123 - time_per_step_ms__MAX","raschka_cpu_Seed123 - _step","raschka_cpu_Seed123 - _step__MIN","raschka_cpu_Seed123 - _step__MAX","raschka_cpu_Seed123 - time_per_step_ms","raschka_cpu_Seed123 - time_per_step_ms__MIN","raschka_cpu_Seed123 - time_per_step_ms__MAX"
"0","0","0","0","4407.280921936035","4407.280921936035","4407.280921936035","1","1","1","14444.206714630127","14444.206714630127","14444.206714630127","0","0","0","3110.036849975586","3110.036849975586","3110.036849975586","1","1","1","14815.004587173462","14815.004587173462","14815.004587173462","1","1","1","14246.834754943848","14246.834754943848","14246.834754943848","0","0","0","3822.5746154785156","3822.5746154785156","3822.5746154785156"
"200","1","1","1","7886.368989944458","7886.368989944458","7886.368989944458","3","3","3","14670.587301254272","14670.587301254272","14670.587301254272","1","1","1","3191.9679641723633","3191.9679641723633","3191.9679641723633","3","3","3","14502.289533615112","14502.289533615112","14502.289533615112","3","3","3","14640.879154205322","14640.879154205322","14640.879154205322","1","1","1","2674.1278171539307","2674.1278171539307","2674.1278171539307"
"400","2","2","2","3185.577869415283","3185.577869415283","3185.577869415283","5","5","5","14525.249004364014","14525.249004364014","14525.249004364014","2","2","2","2768.2738304138184","2768.2738304138184","2768.2738304138184","5","5","5","14520.469427108765","14520.469427108765","14520.469427108765","5","5","5","14589.112043380737","14589.112043380737","14589.112043380737","2","2","2","2996.9396591186523","2996.9396591186523","2996.9396591186523"
"600","3","3","3","5465.766668319702","5465.766668319702","5465.766668319702","7","7","7","14452.198505401611","14452.198505401611","14452.198505401611","3","3","3","2910.1903438568115","2910.1903438568115","2910.1903438568115","7","7","7","14574.780225753784","14574.780225753784","14574.780225753784","7","7","7","14674.417972564697","14674.417972564697","14674.417972564697","3","3","3","5426.279306411743","5426.279306411743","5426.279306411743"
"800","4","4","4","3219.625473022461","3219.625473022461","3219.625473022461","9","9","9","14475.611209869385","14475.611209869385","14475.611209869385","4","4","4","3303.955554962158","3303.955554962158","3303.955554962158","9","9","9","14600.392818450928","14600.392818450928","14600.392818450928","9","9","9","14648.075103759766","14648.075103759766","14648.075103759766","4","4","4","3880.840539932251","3880.840539932251","3880.840539932251"
"1000","5","5","5","2995.6893920898438","2995.6893920898438","2995.6893920898438","11","11","11","14629.224061965942","14629.224061965942","14629.224061965942","5","5","5","3206.122398376465","3206.122398376465","3206.122398376465","11","11","11","14573.032855987549","14573.032855987549","14573.032855987549","11","11","11","14709.179162979126","14709.179162979126","14709.179162979126","5","5","5","5901.773452758789","5901.773452758789","5901.773452758789"
"1200","6","6","6","2980.4773330688477","2980.4773330688477","2980.4773330688477","13","13","13","14623.128414154053","14623.128414154053","14623.128414154053","6","6","6","3578.799247741699","3578.799247741699","3578.799247741699","13","13","13","14909.400463104248","14909.400463104248","14909.400463104248","13","13","13","14611.274719238281","14611.274719238281","14611.274719238281","6","6","6","4245.563268661499","4245.563268661499","4245.563268661499"
"1400","7","7","7","6488.899230957031","6488.899230957031","6488.899230957031","15","15","15","14613.459587097168","14613.459587097168","14613.459587097168","7","7","7","7457.313776016235","7457.313776016235","7457.313776016235","15","15","15","14756.805896759033","14756.805896759033","14756.805896759033","15","15","15","14540.19284248352","14540.19284248352","14540.19284248352","7","7","7","2962.1963500976562","2962.1963500976562","2962.1963500976562"
"1600","8","8","8","2756.6452026367188","2756.6452026367188","2756.6452026367188","17","17","17","14599.807977676392","14599.807977676392","14599.807977676392","8","8","8","2870.734930038452","2870.734930038452","2870.734930038452","17","17","17","14479.57468032837","14479.57468032837","14479.57468032837","17","17","17","14684.245347976685","14684.245347976685","14684.245347976685","8","8","8","7564.531326293945","7564.531326293945","7564.531326293945"
"1800","9","9","9","3419.135332107544","3419.135332107544","3419.135332107544","19","19","19","14689.083576202393","14689.083576202393","14689.083576202393","9","9","9","3297.386646270752","3297.386646270752","3297.386646270752","19","19","19","14697.392702102661","14697.392702102661","14697.392702102661","19","19","19","14565.929651260376","14565.929651260376","14565.929651260376","9","9","9","3832.2017192840576","3832.2017192840576","3832.2017192840576"
"2000","10","10","10","3473.7632274627686","3473.7632274627686","3473.7632274627686","21","21","21","14512.41397857666","14512.41397857666","14512.41397857666","10","10","10","3652.186393737793","3652.186393737793","3652.186393737793","21","21","21","14615.612506866455","14615.612506866455","14615.612506866455","21","21","21","14876.89995765686","14876.89995765686","14876.89995765686","10","10","10","3235.145092010498","3235.145092010498","3235.145092010498"
"2200","11","11","11","6360.044479370117","6360.044479370117","6360.044479370117","23","23","23","14811.310529708862","14811.310529708862","14811.310529708862","11","11","11","2624.6297359466553","2624.6297359466553","2624.6297359466553","23","23","23","14780.56001663208","14780.56001663208","14780.56001663208","23","23","23","14797.832012176514","14797.832012176514","14797.832012176514","11","11","11","3117.969274520874","3117.969274520874","3117.969274520874"
"2400","12","12","12","2982.2239875793457","2982.2239875793457","2982.2239875793457","25","25","25","14483.879566192627","14483.879566192627","14483.879566192627","12","12","12","3058.089256286621","3058.089256286621","3058.089256286621","25","25","25","14522.871255874634","14522.871255874634","14522.871255874634","25","25","25","14809.03148651123","14809.03148651123","14809.03148651123","12","12","12","3381.525754928589","3381.525754928589","3381.525754928589"
"2600","13","13","13","3217.024803161621","3217.024803161621","3217.024803161621","27","27","27","14713.637113571167","14713.637113571167","14713.637113571167","13","13","13","3215.4693603515625","3215.4693603515625","3215.4693603515625","27","27","27","14614.139318466187","14614.139318466187","14614.139318466187","27","27","27","14670.14765739441","14670.14765739441","14670.14765739441","13","13","13","3189.3038749694824","3189.3038749694824","3189.3038749694824"
"2800","14","14","14","3275.3641605377197","3275.3641605377197","3275.3641605377197","29","29","29","14857.57303237915","14857.57303237915","14857.57303237915","14","14","14","2666.0141944885254","2666.0141944885254","2666.0141944885254","29","29","29","14588.697910308838","14588.697910308838","14588.697910308838","29","29","29","14683.411359786987","14683.411359786987","14683.411359786987","14","14","14","3164.1685962677","3164.1685962677","3164.1685962677"
"3000","15","15","15","2926.042318344116","2926.042318344116","2926.042318344116","31","31","31","14485.570192337036","14485.570192337036","14485.570192337036","15","15","15","4435.803174972534","4435.803174972534","4435.803174972534","31","31","31","14508.723735809326","14508.723735809326","14508.723735809326","31","31","31","15077.568531036377","15077.568531036377","15077.568531036377","15","15","15","3115.0104999542236","3115.0104999542236","3115.0104999542236"
"3200","16","16","16","5049.271106719971","5049.271106719971","5049.271106719971","33","33","33","14454.15735244751","14454.15735244751","14454.15735244751","16","16","16","2683.00724029541","2683.00724029541","2683.00724029541","33","33","33","14320.586442947388","14320.586442947388","14320.586442947388","33","33","33","14716.67194366455","14716.67194366455","14716.67194366455","16","16","16","3841.0470485687256","3841.0470485687256","3841.0470485687256"
"3400","17","17","17","3430.751323699951","3430.751323699951","3430.751323699951","35","35","35","14622.984886169434","14622.984886169434","14622.984886169434","17","17","17","2799.7171878814697","2799.7171878814697","2799.7171878814697","35","35","35","14599.070072174072","14599.070072174072","14599.070072174072","35","35","35","14683.022260665894","14683.022260665894","14683.022260665894","17","17","17","3310.6844425201416","3310.6844425201416","3310.6844425201416"
"3600","18","18","18","4055.591106414795","4055.591106414795","4055.591106414795","37","37","37","14458.516120910645","14458.516120910645","14458.516120910645","18","18","18","5184.930086135864","5184.930086135864","5184.930086135864","37","37","37","14779.003858566284","14779.003858566284","14779.003858566284","37","37","37","14720.172643661499","14720.172643661499","14720.172643661499","18","18","18","3116.887092590332","3116.887092590332","3116.887092590332"
"3800","19","19","19","2898.3988761901855","2898.3988761901855","2898.3988761901855","39","39","39","14643.990278244019","14643.990278244019","14643.990278244019","19","19","19","5520.895481109619","5520.895481109619","5520.895481109619","39","39","39","14589.953422546387","14589.953422546387","14589.953422546387","39","39","39","14636.32869720459","14636.32869720459","14636.32869720459","19","19","19","3143.953323364258","3143.953323364258","3143.953323364258"
"4000","20","20","20","3239.529848098755","3239.529848098755","3239.529848098755","41","41","41","14408.108711242676","14408.108711242676","14408.108711242676","20","20","20","3453.2060623168945","3453.2060623168945","3453.2060623168945","41","41","41","14471.248626708984","14471.248626708984","14471.248626708984","41","41","41","14766.116619110107","14766.116619110107","14766.116619110107","20","20","20","2833.3075046539307","2833.3075046539307","2833.3075046539307"
"4200","21","21","21","4052.2167682647705","4052.2167682647705","4052.2167682647705","43","43","43","14525.909185409546","14525.909185409546","14525.909185409546","21","21","21","3187.1871948242188","3187.1871948242188","3187.1871948242188","43","43","43","14696.237564086914","14696.237564086914","14696.237564086914","43","43","43","14557.598352432251","14557.598352432251","14557.598352432251","21","21","21","2461.8136882781982","2461.8136882781982","2461.8136882781982"
"4400","22","22","22","3169.53182220459","3169.53182220459","3169.53182220459","45","45","45","14781.45980834961","14781.45980834961","14781.45980834961","22","22","22","6634.10496711731","6634.10496711731","6634.10496711731","45","45","45","14429.235458374023","14429.235458374023","14429.235458374023","45","45","45","14486.89603805542","14486.89603805542","14486.89603805542","22","22","22","3160.2234840393066","3160.2234840393066","3160.2234840393066"
