"step","raschka_cpu_Seed45887 - _step","raschka_cpu_Seed45887 - _step__MIN","raschka_cpu_Seed45887 - _step__MAX","raschka_cpu_Seed45887 - train_accuracy","raschka_cpu_Seed45887 - train_accuracy__MIN","raschka_cpu_Seed45887 - train_accuracy__MAX","karpathy_cpu_Seed45887 - _step","karpathy_cpu_Seed45887 - _step__MIN","karpathy_cpu_Seed45887 - _step__MAX","karpathy_cpu_Seed45887 - train_accuracy","karpathy_cpu_Seed45887 - train_accuracy__MIN","karpathy_cpu_Seed45887 - train_accuracy__MAX","raschka_cpu_Seed5678 - _step","raschka_cpu_Seed5678 - _step__MIN","raschka_cpu_Seed5678 - _step__MAX","raschka_cpu_Seed5678 - train_accuracy","raschka_cpu_Seed5678 - train_accuracy__MIN","raschka_cpu_Seed5678 - train_accuracy__MAX","karpathy_cpu_Seed5678 - _step","karpathy_cpu_Seed5678 - _step__MIN","karpathy_cpu_Seed5678 - _step__MAX","karpathy_cpu_Seed5678 - train_accuracy","karpathy_cpu_Seed5678 - train_accuracy__MIN","karpathy_cpu_Seed5678 - train_accuracy__MAX","karpathy_cpu_Seed123 - _step","karpathy_cpu_Seed123 - _step__MIN","karpathy_cpu_Seed123 - _step__MAX","karpathy_cpu_Seed123 - train_accuracy","karpathy_cpu_Seed123 - train_accuracy__MIN","karpathy_cpu_Seed123 - train_accuracy__MAX","raschka_cpu_Seed123 - _step","raschka_cpu_Seed123 - _step__MIN","raschka_cpu_Seed123 - _step__MAX","raschka_cpu_Seed123 - train_accuracy","raschka_cpu_Seed123 - train_accuracy__MIN","raschka_cpu_Seed123 - train_accuracy__MAX"
"0","0","0","0","0.43517330288887024","0.43517330288887024","0.43517330288887024","1","1","1","0.46142578125","0.46142578125","0.46142578125","0","0","0","0.4964234530925751","0.4964234530925751","0.4964234530925751","1","1","1","0.46142578125","0.46142578125","0.46142578125","1","1","1","0.46142578125","0.46142578125","0.46142578125","0","0","0","0.4586929678916931","0.4586929678916931","0.4586929678916931"
"200","1","1","1","0.5480961799621582","0.5480961799621582","0.5480961799621582","3","3","3","0.5029296875","0.5029296875","0.5029296875","1","1","1","0.6027586460113525","0.6027586460113525","0.6027586460113525","3","3","3","0.50537109375","0.50537109375","0.50537109375","3","3","3","0.5439453125","0.5439453125","0.5439453125","1","1","1","0.583747923374176","0.583747923374176","0.583747923374176"
"400","2","2","2","0.5824607610702515","0.5824607610702515","0.5824607610702515","5","5","5","0.55029296875","0.55029296875","0.55029296875","2","2","2","0.6342943906784058","0.6342943906784058","0.6342943906784058","5","5","5","0.5517578125","0.5517578125","0.5517578125","5","5","5","0.5185546875","0.5185546875","0.5185546875","2","2","2","0.6072555184364319","0.6072555184364319","0.6072555184364319"
"600","3","3","3","0.6053511500358582","0.6053511500358582","0.6053511500358582","7","7","7","0.6025390625","0.6025390625","0.6025390625","3","3","3","0.5714285969734192","0.5714285969734192","0.5714285969734192","7","7","7","0.60791015625","0.60791015625","0.60791015625","7","7","7","0.55908203125","0.55908203125","0.55908203125","3","3","3","0.5990888476371765","0.5990888476371765","0.5990888476371765"
"800","4","4","4","0.6134228110313416","0.6134228110313416","0.6134228110313416","9","9","9","0.56005859375","0.56005859375","0.56005859375","4","4","4","0.5936139225959778","0.5936139225959778","0.5936139225959778","9","9","9","0.56005859375","0.56005859375","0.56005859375","9","9","9","0.58251953125","0.58251953125","0.58251953125","4","4","4","0.5717761516571045","0.5717761516571045","0.5717761516571045"
"1000","5","5","5","0.5716612339019775","0.5716612339019775","0.5716612339019775","11","11","11","0.6123046875","0.6123046875","0.6123046875","5","5","5","0.610315203666687","0.610315203666687","0.610315203666687","11","11","11","0.6181640625","0.6181640625","0.6181640625","11","11","11","0.5830078125","0.5830078125","0.5830078125","5","5","5","0.5313199162483215","0.5313199162483215","0.5313199162483215"
"1200","6","6","6","0.6326219439506531","0.6326219439506531","0.6326219439506531","13","13","13","0.53515625","0.53515625","0.53515625","6","6","6","0.5831024646759033","0.5831024646759033","0.5831024646759033","13","13","13","0.53759765625","0.53759765625","0.53759765625","13","13","13","0.59521484375","0.59521484375","0.59521484375","6","6","6","0.6391752362251282","0.6391752362251282","0.6391752362251282"
"1400","7","7","7","0.5832566618919373","0.5832566618919373","0.5832566618919373","15","15","15","0.6064453125","0.6064453125","0.6064453125","7","7","7","0.5804837346076965","0.5804837346076965","0.5804837346076965","15","15","15","0.6083984375","0.6083984375","0.6083984375","15","15","15","0.59912109375","0.59912109375","0.59912109375","7","7","7","0.6349693536758423","0.6349693536758423","0.6349693536758423"
"1600","8","8","8","0.5899053812026978","0.5899053812026978","0.5899053812026978","17","17","17","0.595703125","0.595703125","0.595703125","8","8","8","0.6287878751754761","0.6287878751754761","0.6287878751754761","17","17","17","0.59912109375","0.59912109375","0.59912109375","17","17","17","0.59912109375","0.59912109375","0.59912109375","8","8","8","0.6260162591934204","0.6260162591934204","0.6260162591934204"
"1800","9","9","9","0.575123131275177","0.575123131275177","0.575123131275177","19","19","19","0.60107421875","0.60107421875","0.60107421875","9","9","9","0.577373206615448","0.577373206615448","0.577373206615448","19","19","19","0.60400390625","0.60400390625","0.60400390625","19","19","19","0.57080078125","0.57080078125","0.57080078125","9","9","9","0.5986928343772888","0.5986928343772888","0.5986928343772888"
