"step","raschka_cpu_Seed45887 - _step","raschka_cpu_Seed45887 - _step__MIN","raschka_cpu_Seed45887 - _step__MAX","raschka_cpu_Seed45887 - train_loss","raschka_cpu_Seed45887 - train_loss__MIN","raschka_cpu_Seed45887 - train_loss__MAX","karpathy_cpu_Seed45887 - _step","karpathy_cpu_Seed45887 - _step__MIN","karpathy_cpu_Seed45887 - _step__MAX","karpathy_cpu_Seed45887 - train_loss","karpathy_cpu_Seed45887 - train_loss__MIN","karpathy_cpu_Seed45887 - train_loss__MAX","raschka_cpu_Seed5678 - _step","raschka_cpu_Seed5678 - _step__MIN","raschka_cpu_Seed5678 - _step__MAX","raschka_cpu_Seed5678 - train_loss","raschka_cpu_Seed5678 - train_loss__MIN","raschka_cpu_Seed5678 - train_loss__MAX","karpathy_cpu_Seed5678 - _step","karpathy_cpu_Seed5678 - _step__MIN","karpathy_cpu_Seed5678 - _step__MAX","karpathy_cpu_Seed5678 - train_loss","karpathy_cpu_Seed5678 - train_loss__MIN","karpathy_cpu_Seed5678 - train_loss__MAX","karpathy_cpu_Seed123 - _step","karpathy_cpu_Seed123 - _step__MIN","karpathy_cpu_Seed123 - _step__MAX","karpathy_cpu_Seed123 - train_loss","karpathy_cpu_Seed123 - train_loss__MIN","karpathy_cpu_Seed123 - train_loss__MAX","raschka_cpu_Seed123 - _step","raschka_cpu_Seed123 - _step__MIN","raschka_cpu_Seed123 - _step__MAX","raschka_cpu_Seed123 - train_loss","raschka_cpu_Seed123 - train_loss__MIN","raschka_cpu_Seed123 - train_loss__MAX"
"0","0","0","0","2.3157472133636476","2.3157472133636476","2.3157472133636476","1","1","1","2.403296709060669","2.403296709060669","2.403296709060669","0","0","0","2.3316291332244874","2.3316291332244874","2.3316291332244874","1","1","1","2.403296709060669","2.403296709060669","2.403296709060669","1","1","1","2.403296709060669","2.403296709060669","2.403296709060669","0","0","0","2.2791839599609376","2.2791839599609376","2.2791839599609376"
"200","1","1","1","1.7788152694702148","1.7788152694702148","1.7788152694702148","3","3","3","2.129098653793335","2.129098653793335","2.129098653793335","1","1","1","1.7758596897125245","1.7758596897125245","1.7758596897125245","3","3","3","2.1059274673461914","2.1059274673461914","2.1059274673461914","3","3","3","1.8950750827789307","1.8950750827789307","1.8950750827789307","1","1","1","1.6485229015350342","1.6485229015350342","1.6485229015350342"
"400","2","2","2","1.724540400505066","1.724540400505066","1.724540400505066","5","5","5","1.8488487005233765","1.8488487005233765","1.8488487005233765","2","2","2","1.6950363159179687","1.6950363159179687","1.6950363159179687","5","5","5","1.828572392463684","1.828572392463684","1.828572392463684","5","5","5","1.9697214365005493","1.9697214365005493","1.9697214365005493","2","2","2","1.7081581592559814","1.7081581592559814","1.7081581592559814"
"600","3","3","3","1.5517295360565186","1.5517295360565186","1.5517295360565186","7","7","7","1.621503233909607","1.621503233909607","1.621503233909607","3","3","3","1.6230624675750733","1.6230624675750733","1.6230624675750733","7","7","7","1.602622628211975","1.602622628211975","1.602622628211975","7","7","7","1.7432266473770142","1.7432266473770142","1.7432266473770142","3","3","3","1.5593051195144654","1.5593051195144654","1.5593051195144654"
"800","4","4","4","1.5487860679626464","1.5487860679626464","1.5487860679626464","9","9","9","1.7537267208099365","1.7537267208099365","1.7537267208099365","4","4","4","1.5230547189712524","1.5230547189712524","1.5230547189712524","9","9","9","1.7394083738327026","1.7394083738327026","1.7394083738327026","9","9","9","1.6348133087158203","1.6348133087158203","1.6348133087158203","4","4","4","1.538642168045044","1.538642168045044","1.538642168045044"
"1000","5","5","5","1.6244331836700439","1.6244331836700439","1.6244331836700439","11","11","11","1.5297902822494507","1.5297902822494507","1.5297902822494507","5","5","5","1.5777857780456543","1.5777857780456543","1.5777857780456543","11","11","11","1.5138943195343018","1.5138943195343018","1.5138943195343018","11","11","11","1.663689136505127","1.663689136505127","1.663689136505127","5","5","5","1.6209384679794312","1.6209384679794312","1.6209384679794312"
"1200","6","6","6","1.4661931276321412","1.4661931276321412","1.4661931276321412","13","13","13","1.8188247680664062","1.8188247680664062","1.8188247680664062","6","6","6","1.5873633861541747","1.5873633861541747","1.5873633861541747","13","13","13","1.8063238859176636","1.8063238859176636","1.8063238859176636","13","13","13","1.6220364570617676","1.6220364570617676","1.6220364570617676","6","6","6","1.4568257331848145","1.4568257331848145","1.4568257331848145"
"1400","7","7","7","1.3933093786239623","1.3933093786239623","1.3933093786239623","15","15","15","1.5904227495193481","1.5904227495193481","1.5904227495193481","7","7","7","1.616614007949829","1.616614007949829","1.616614007949829","15","15","15","1.578840970993042","1.578840970993042","1.578840970993042","15","15","15","1.5838699340820312","1.5838699340820312","1.5838699340820312","7","7","7","1.4792657852172852","1.4792657852172852","1.4792657852172852"
"1600","8","8","8","1.512589931488037","1.512589931488037","1.512589931488037","17","17","17","1.5629467964172363","1.5629467964172363","1.5629467964172363","8","8","8","1.4705853700637816","1.4705853700637816","1.4705853700637816","17","17","17","1.5528899431228638","1.5528899431228638","1.5528899431228638","17","17","17","1.5780754089355469","1.5780754089355469","1.5780754089355469","8","8","8","1.569435477256775","1.569435477256775","1.569435477256775"
"1800","9","9","9","1.5291295289993285","1.5291295289993285","1.5291295289993285","19","19","19","1.5370944738388062","1.5370944738388062","1.5370944738388062","9","9","9","1.5242271423339844","1.5242271423339844","1.5242271423339844","19","19","19","1.5287117958068848","1.5287117958068848","1.5287117958068848","19","19","19","1.7097243070602417","1.7097243070602417","1.7097243070602417","9","9","9","1.4840424537658692","1.4840424537658692","1.4840424537658692"
