"step","raschka_cpu_Seed45887 - _step","raschka_cpu_Seed45887 - _step__MIN","raschka_cpu_Seed45887 - _step__MAX","raschka_cpu_Seed45887 - train_perplexity","raschka_cpu_Seed45887 - train_perplexity__MIN","raschka_cpu_Seed45887 - train_perplexity__MAX","karpathy_cpu_Seed45887 - _step","karpathy_cpu_Seed45887 - _step__MIN","karpathy_cpu_Seed45887 - _step__MAX","karpathy_cpu_Seed45887 - train_perplexity","karpathy_cpu_Seed45887 - train_perplexity__MIN","karpathy_cpu_Seed45887 - train_perplexity__MAX","raschka_cpu_Seed5678 - _step","raschka_cpu_Seed5678 - _step__MIN","raschka_cpu_Seed5678 - _step__MAX","raschka_cpu_Seed5678 - train_perplexity","raschka_cpu_Seed5678 - train_perplexity__MIN","raschka_cpu_Seed5678 - train_perplexity__MAX","karpathy_cpu_Seed5678 - _step","karpathy_cpu_Seed5678 - _step__MIN","karpathy_cpu_Seed5678 - _step__MAX","karpathy_cpu_Seed5678 - train_perplexity","karpathy_cpu_Seed5678 - train_perplexity__MIN","karpathy_cpu_Seed5678 - train_perplexity__MAX","karpathy_cpu_Seed123 - _step","karpathy_cpu_Seed123 - _step__MIN","karpathy_cpu_Seed123 - _step__MAX","karpathy_cpu_Seed123 - train_perplexity","karpathy_cpu_Seed123 - train_perplexity__MIN","karpathy_cpu_Seed123 - train_perplexity__MAX","raschka_cpu_Seed123 - _step","raschka_cpu_Seed123 - _step__MIN","raschka_cpu_Seed123 - _step__MAX","raschka_cpu_Seed123 - train_perplexity","raschka_cpu_Seed123 - train_perplexity__MIN","raschka_cpu_Seed123 - train_perplexity__MAX"
"0","0","0","0","10.132492065429688","10.132492065429688","10.132492065429688","1","1","1","11.059576988220215","11.059576988220215","11.059576988220215","0","0","0","10.294698715209961","10.294698715209961","10.294698715209961","1","1","1","11.059576988220215","11.059576988220215","11.059576988220215","1","1","1","11.059576988220215","11.059576988220215","11.059576988220215","0","0","0","9.768704414367676","9.768704414367676","9.768704414367676"
"200","1","1","1","5.922835350036621","5.922835350036621","5.922835350036621","3","3","3","8.407285690307617","8.407285690307617","8.407285690307617","1","1","1","5.905355930328369","5.905355930328369","5.905355930328369","3","3","3","8.21471881866455","8.21471881866455","8.21471881866455","3","3","3","6.653048038482666","6.653048038482666","6.653048038482666","1","1","1","5.199294090270996","5.199294090270996","5.199294090270996"
"400","2","2","2","5.6099419593811035","5.6099419593811035","5.6099419593811035","5","5","5","6.35250186920166","6.35250186920166","6.35250186920166","2","2","2","5.44684362411499","5.44684362411499","5.44684362411499","5","5","5","6.224993705749512","6.224993705749512","6.224993705749512","5","5","5","7.168679237365723","7.168679237365723","7.168679237365723","2","2","2","5.518787384033203","5.518787384033203","5.518787384033203"
"600","3","3","3","4.719625949859619","4.719625949859619","4.719625949859619","7","7","7","5.060691833496094","5.060691833496094","5.060691833496094","3","3","3","5.068589210510254","5.068589210510254","5.068589210510254","7","7","7","4.966039657592773","4.966039657592773","4.966039657592773","7","7","7","5.715756416320801","5.715756416320801","5.715756416320801","3","3","3","4.7555155754089355","4.7555155754089355","4.7555155754089355"
"800","4","4","4","4.705754280090332","4.705754280090332","4.705754280090332","9","9","9","5.776088714599609","5.776088714599609","5.776088714599609","4","4","4","4.5862135887146","4.5862135887146","4.5862135887146","9","9","9","5.693973541259766","5.693973541259766","5.693973541259766","9","9","9","5.128500461578369","5.128500461578369","5.128500461578369","4","4","4","4.658260822296143","4.658260822296143","4.658260822296143"
"1000","5","5","5","5.075541019439697","5.075541019439697","5.075541019439697","11","11","11","4.617208480834961","4.617208480834961","4.617208480834961","5","5","5","4.844217300415039","4.844217300415039","4.844217300415039","11","11","11","4.544393539428711","4.544393539428711","4.544393539428711","11","11","11","5.278748989105225","5.278748989105225","5.278748989105225","5","5","5","5.057834625244141","5.057834625244141","5.057834625244141"
"1200","6","6","6","4.332709312438965","4.332709312438965","4.332709312438965","13","13","13","6.164609432220459","6.164609432220459","6.164609432220459","6","6","6","4.890836715698242","4.890836715698242","4.890836715698242","13","13","13","6.08802604675293","6.08802604675293","6.08802604675293","13","13","13","5.063391208648682","5.063391208648682","5.063391208648682","6","6","6","4.292313098907471","4.292313098907471","4.292313098907471"
"1400","7","7","7","4.028158664703369","4.028158664703369","4.028158664703369","15","15","15","4.905822277069092","4.905822277069092","4.905822277069092","7","7","7","5.036009311676025","5.036009311676025","5.036009311676025","15","15","15","4.849331855773926","4.849331855773926","4.849331855773926","15","15","15","4.873780727386475","4.873780727386475","4.873780727386475","7","7","7","4.389721393585205","4.389721393585205","4.389721393585205"
"1600","8","8","8","4.5384697914123535","4.5384697914123535","4.5384697914123535","17","17","17","4.772865295410156","4.772865295410156","4.772865295410156","8","8","8","4.351781845092773","4.351781845092773","4.351781845092773","17","17","17","4.7251057624816895","4.7251057624816895","4.7251057624816895","17","17","17","4.845621109008789","4.845621109008789","4.845621109008789","8","8","8","4.803935527801514","4.803935527801514","4.803935527801514"
"1800","9","9","9","4.614158630371094","4.614158630371094","4.614158630371094","19","19","19","4.65105676651001","4.65105676651001","4.65105676651001","9","9","9","4.5915937423706055","4.5915937423706055","4.5915937423706055","19","19","19","4.612231731414795","4.612231731414795","4.612231731414795","19","19","19","5.527437210083008","5.527437210083008","5.527437210083008","9","9","9","4.410739898681641","4.410739898681641","4.410739898681641"
