"Relative Time (Process)","raschka_gpu_45887 - system/cpu","raschka_gpu_45887 - system/cpu__MIN","raschka_gpu_45887 - system/cpu__MAX","raschka_gpu_5678 - system/cpu","raschka_gpu_5678 - system/cpu__MIN","raschka_gpu_5678 - system/cpu__MAX","raschka_gpu_123 - system/cpu","raschka_gpu_123 - system/cpu__MIN","raschka_gpu_123 - system/cpu__MAX","karpathy_gpu_45887 - system/cpu","karpathy_gpu_45887 - system/cpu__MIN","karpathy_gpu_45887 - system/cpu__MAX","karpathy_gpu_5678 - system/cpu","karpathy_gpu_5678 - system/cpu__MIN","karpathy_gpu_5678 - system/cpu__MAX","karpathy_gpu_123 - system/cpu","karpathy_gpu_123 - system/cpu__MIN","karpathy_gpu_123 - system/cpu__MAX"
"15.286667765","","","","","","","","","","4.880667241933652","4.880667241933652","4.880667241933652","","","","","",""
"15.287639369","4.032115928542205","4.032115928542205","4.032115928542205","","","","","","","","","","","","","","",""
"15.310064577","","","","","","","","","","","","","4.70517382341942","4.70517382341942","4.70517382341942","","",""
"15.333536862","","","","","","","4.030077815377366","4.030077815377366","4.030077815377366","","","","","","","","",""
"15.351602348","","","","4.184849208461717","4.184849208461717","4.184849208461717","","","","","","","","","","","",""
"15.568177001","","","","","","","","","","","","","","","","1.2849352866013595","1.2849352866013595","1.2849352866013595"
"30.286318667","3.8333807128120028","3.8333807128120028","3.8333807128120028","","","","","","","","","","","","","","",""
"30.286339587","","","","","","","","","","4.834393074499246","4.834393074499246","4.834393074499246","","","","","",""
"30.308824337","","","","","","","","","","","","","4.714224244013882","4.714224244013882","4.714224244013882","","",""
"30.332767468","","","","","","","3.830854214124634","3.830854214124634","3.830854214124634","","","","","","","","",""
"30.350514733","","","","3.941972138805916","3.941972138805916","3.941972138805916","","","","","","","","","","","",""
"30.566645143","","","","","","","","","","","","","","","","1.5451661518892204","1.5451661518892204","1.5451661518892204"
"45.286102392","3.7228439585073025","3.7228439585073025","3.7228439585073025","","","","","","","","","","","","","","",""
"45.290076958","","","","","","","","","","4.8501259940612576","4.8501259940612576","4.8501259940612576","","","","","",""
"45.308903501","","","","","","","","","","","","","4.707740351969651","4.707740351969651","4.707740351969651","","",""
"45.332915466","","","","","","","3.720684878847504","3.720684878847504","3.720684878847504","","","","","","","","",""
"45.351097498","","","","3.8073233661598147","3.8073233661598147","3.8073233661598147","","","","","","","","","","","",""
"45.566745364","","","","","","","","","","","","","","","","1.8359399741883238","1.8359399741883238","1.8359399741883238"
"60.285819946","3.651671580985933","3.651671580985933","3.651671580985933","","","","","","","","","","","","","","",""
"60.286125272","","","","","","","","","","4.873931523839812","4.873931523839812","4.873931523839812","","","","","",""
"60.30929106","","","","","","","","","","","","","4.754579801443414","4.754579801443414","4.754579801443414","","",""
"60.33288302","","","","","","","3.668807352666723","3.668807352666723","3.668807352666723","","","","","","","","",""
"60.350576086","","","","3.7394142060848634","3.7394142060848634","3.7394142060848634","","","","","","","","","","","",""
"60.567261736","","","","","","","","","","","","","","","","2.156478879342742","2.156478879342742","2.156478879342742"
"75.286296785","","","","","","","","","","4.858738796929457","4.858738796929457","4.858738796929457","","","","","",""
"75.286574295","3.614652940795013","3.614652940795013","3.614652940795013","","","","","","","","","","","","","","",""
"75.308770588","","","","","","","","","","","","","4.746503345460373","4.746503345460373","4.746503345460373","","",""
"75.332209287","","","","","","","3.616850421168971","3.616850421168971","3.616850421168971","","","","","","","","",""
"75.350614818","","","","3.677322947741661","3.677322947741661","3.677322947741661","","","","","","","","","","","",""
"75.566637042","","","","","","","","","","","","","","","","2.4216407098204344","2.4216407098204344","2.4216407098204344"
"90.285568858","","","","","","","","","","4.864440503532445","4.864440503532445","4.864440503532445","","","","","",""
"90.286673668","3.576861629436968","3.576861629436968","3.576861629436968","","","","","","","","","","","","","","",""
"90.308949114","","","","","","","","","","","","","4.809243415056216","4.809243415056216","4.809243415056216","","",""
"90.333261998","","","","","","","3.579292620059702","3.579292620059702","3.579292620059702","","","","","","","","",""
"90.350787613","","","","3.63148063105553","3.63148063105553","3.63148063105553","","","","","","","","","","","",""
