"step","raschka_gpu_45887 - _step","raschka_gpu_45887 - _step__MIN","raschka_gpu_45887 - _step__MAX","raschka_gpu_45887 - throughput","raschka_gpu_45887 - throughput__MIN","raschka_gpu_45887 - throughput__MAX","raschka_gpu_5678 - _step","raschka_gpu_5678 - _step__MIN","raschka_gpu_5678 - _step__MAX","raschka_gpu_5678 - throughput","raschka_gpu_5678 - throughput__MIN","raschka_gpu_5678 - throughput__MAX","raschka_gpu_123 - _step","raschka_gpu_123 - _step__MIN","raschka_gpu_123 - _step__MAX","raschka_gpu_123 - throughput","raschka_gpu_123 - throughput__MIN","raschka_gpu_123 - throughput__MAX","karpathy_gpu_45887 - _step","karpathy_gpu_45887 - _step__MIN","karpathy_gpu_45887 - _step__MAX","karpathy_gpu_45887 - throughput","karpathy_gpu_45887 - throughput__MIN","karpathy_gpu_45887 - throughput__MAX","karpathy_gpu_5678 - _step","karpathy_gpu_5678 - _step__MIN","karpathy_gpu_5678 - _step__MAX","karpathy_gpu_5678 - throughput","karpathy_gpu_5678 - throughput__MIN","karpathy_gpu_5678 - throughput__MAX","karpathy_gpu_123 - _step","karpathy_gpu_123 - _step__MIN","karpathy_gpu_123 - _step__MAX","karpathy_gpu_123 - throughput","karpathy_gpu_123 - throughput__MIN","karpathy_gpu_123 - throughput__MAX"
"0","0","0","0","5146.616639736819","5146.616639736819","5146.616639736819","0","0","0","4733.613801226077","4733.613801226077","4733.613801226077","0","0","0","7282.703589708975","7282.703589708975","7282.703589708975","1","1","1","2227.734584020888","2227.734584020888","2227.734584020888","1","1","1","2227.119598659103","2227.119598659103","2227.119598659103","1","1","1","236.37161990653289","236.37161990653289","236.37161990653289"
"200","1","1","1","11974.12799560246","11974.12799560246","11974.12799560246","1","1","1","12099.343584625081","12099.343584625081","12099.343584625081","1","1","1","12381.096113513333","12381.096113513333","12381.096113513333","3","3","3","59352.880032336856","59352.880032336856","59352.880032336856","3","3","3","62250.07539998152","62250.07539998152","62250.07539998152","3","3","3","62290.58956787841","62290.58956787841","62290.58956787841"
"400","2","2","2","12231.223727490422","12231.223727490422","12231.223727490422","2","2","2","11824.950872458598","11824.950872458598","11824.950872458598","2","2","2","11590.252804754855","11590.252804754855","11590.252804754855","5","5","5","61919.36791305272","61919.36791305272","61919.36791305272","5","5","5","62063.198677805376","62063.198677805376","62063.198677805376","5","5","5","59977.51414003355","59977.51414003355","59977.51414003355"
"600","3","3","3","11816.63443164584","11816.63443164584","11816.63443164584","3","3","3","12072.779043217137","12072.779043217137","12072.779043217137","3","3","3","12621.471346240822","12621.471346240822","12621.471346240822","7","7","7","62094.71570668517","62094.71570668517","62094.71570668517","7","7","7","62296.68818420814","62296.68818420814","62296.68818420814","7","7","7","61951.07408763006","61951.07408763006","61951.07408763006"
"800","4","4","4","9884.24125858118","9884.24125858118","9884.24125858118","4","4","4","9636.511091233811","9636.511091233811","9636.511091233811","4","4","4","8468.679542240916","8468.679542240916","8468.679542240916","9","9","9","60750.580137096505","60750.580137096505","60750.580137096505","9","9","9","60678.27091747445","60678.27091747445","60678.27091747445","9","9","9","59768.852064006736","59768.852064006736","59768.852064006736"
"1000","5","5","5","11984.057634249346","11984.057634249346","11984.057634249346","5","5","5","11556.064101623597","11556.064101623597","11556.064101623597","5","5","5","12165.805458933366","12165.805458933366","12165.805458933366","11","11","11","61740.79158191319","61740.79158191319","61740.79158191319","11","11","11","57296.0245460973","57296.0245460973","57296.0245460973","11","11","11","59572.06674341512","59572.06674341512","59572.06674341512"
"1200","6","6","6","11667.761486995034","11667.761486995034","11667.761486995034","6","6","6","11608.199063904201","11608.199063904201","11608.199063904201","6","6","6","11629.422544395034","11629.422544395034","11629.422544395034","13","13","13","61851.48755760369","61851.48755760369","61851.48755760369","13","13","13","60191.75031795361","60191.75031795361","60191.75031795361","13","13","13","58285.64657187543","58285.64657187543","58285.64657187543"
"1400","7","7","7","11570.178476782334","11570.178476782334","11570.178476782334","7","7","7","12267.021026608125","12267.021026608125","12267.021026608125","7","7","7","11324.546296405944","11324.546296405944","11324.546296405944","15","15","15","60953.40358520857","60953.40358520857","60953.40358520857","15","15","15","58531.885074937054","58531.885074937054","58531.885074937054","15","15","15","57757.36070385175","57757.36070385175","57757.36070385175"
"1600","8","8","8","11926.989442633589","11926.989442633589","11926.989442633589","8","8","8","11853.785788880907","11853.785788880907","11853.785788880907","8","8","8","12417.280680554884","12417.280680554884","12417.280680554884","17","17","17","61825.22252211402","61825.22252211402","61825.22252211402","17","17","17","60009.88243841779","60009.88243841779","60009.88243841779","17","17","17","61524.54978584423","61524.54978584423","61524.54978584423"
"1800","9","9","9","12318.753348112567","12318.753348112567","12318.753348112567","9","9","9","11991.769644014872","11991.769644014872","11991.769644014872","9","9","9","12543.538416331527","12543.538416331527","12543.538416331527","19","19","19","60380.24090423438","60380.24090423438","60380.24090423438","19","19","19","58655.68605653591","58655.68605653591","58655.68605653591","19","19","19","61468.19652798649","61468.19652798649","61468.19652798649"
