"step","raschka_gpu_45887 - _step","raschka_gpu_45887 - _step__MIN","raschka_gpu_45887 - _step__MAX","raschka_gpu_45887 - grad_norm","raschka_gpu_45887 - grad_norm__MIN","raschka_gpu_45887 - grad_norm__MAX","raschka_gpu_5678 - _step","raschka_gpu_5678 - _step__MIN","raschka_gpu_5678 - _step__MAX","raschka_gpu_5678 - grad_norm","raschka_gpu_5678 - grad_norm__MIN","raschka_gpu_5678 - grad_norm__MAX","raschka_gpu_123 - _step","raschka_gpu_123 - _step__MIN","raschka_gpu_123 - _step__MAX","raschka_gpu_123 - grad_norm","raschka_gpu_123 - grad_norm__MIN","raschka_gpu_123 - grad_norm__MAX","karpathy_gpu_45887 - _step","karpathy_gpu_45887 - _step__MIN","karpathy_gpu_45887 - _step__MAX","karpathy_gpu_45887 - grad_norm","karpathy_gpu_45887 - grad_norm__MIN","karpathy_gpu_45887 - grad_norm__MAX","karpathy_gpu_5678 - _step","karpathy_gpu_5678 - _step__MIN","karpathy_gpu_5678 - _step__MAX","karpathy_gpu_5678 - grad_norm","karpathy_gpu_5678 - grad_norm__MIN","karpathy_gpu_5678 - grad_norm__MAX","karpathy_gpu_123 - _step","karpathy_gpu_123 - _step__MIN","karpathy_gpu_123 - _step__MAX","karpathy_gpu_123 - grad_norm","karpathy_gpu_123 - grad_norm__MIN","karpathy_gpu_123 - grad_norm__MAX"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","5.914434432983398","5.914434432983398","5.914434432983398","1","1","1","5.914464473724365","5.914464473724365","5.914464473724365","1","1","1","5.914511680603027","5.914511680603027","5.914511680603027"
"200","1","1","1","0","0","0","1","1","1","0","0","0","1","1","1","0","0","0","3","3","3","2.7020046710968018","2.7020046710968018","2.7020046710968018","3","3","3","2.7703375816345215","2.7703375816345215","2.7703375816345215","3","3","3","2.8428170680999756","2.8428170680999756","2.8428170680999756"
"400","2","2","2","0","0","0","2","2","2","0","0","0","2","2","2","0","0","0","5","5","5","2.565978527069092","2.565978527069092","2.565978527069092","5","5","5","2.4128918647766113","2.4128918647766113","2.4128918647766113","5","5","5","2.465559244155884","2.465559244155884","2.465559244155884"
"600","3","3","3","0","0","0","3","3","3","0","0","0","3","3","3","0","0","0","7","7","7","2.246363401412964","2.246363401412964","2.246363401412964","7","7","7","2.102863073348999","2.102863073348999","2.102863073348999","7","7","7","2.0877184867858887","2.0877184867858887","2.0877184867858887"
"800","4","4","4","2.6547176837921143","2.6547176837921143","2.6547176837921143","4","4","4","3.1693570613861084","3.1693570613861084","3.1693570613861084","4","4","4","2.921043872833252","2.921043872833252","2.921043872833252","9","9","9","1.8102489709854126","1.8102489709854126","1.8102489709854126","9","9","9","1.5137121677398682","1.5137121677398682","1.5137121677398682","9","9","9","1.507536768913269","1.507536768913269","1.507536768913269"
"1000","5","5","5","2.608227252960205","2.608227252960205","2.608227252960205","5","5","5","2.470156192779541","2.470156192779541","2.470156192779541","5","5","5","3.0888590812683105","3.0888590812683105","3.0888590812683105","11","11","11","1.313377857208252","1.313377857208252","1.313377857208252","11","11","11","1.141289472579956","1.141289472579956","1.141289472579956","11","11","11","1.1308435201644897","1.1308435201644897","1.1308435201644897"
"1200","6","6","6","2.459338903427124","2.459338903427124","2.459338903427124","6","6","6","2.4625651836395264","2.4625651836395264","2.4625651836395264","6","6","6","2.6439366340637207","2.6439366340637207","2.6439366340637207","13","13","13","1.0534919500350952","1.0534919500350952","1.0534919500350952","13","13","13","0.9713240265846252","0.9713240265846252","0.9713240265846252","13","13","13","0.9713937044143677","0.9713937044143677","0.9713937044143677"
"1400","7","7","7","2.3106446266174316","2.3106446266174316","2.3106446266174316","7","7","7","3.070178747177124","3.070178747177124","3.070178747177124","7","7","7","2.579841375350952","2.579841375350952","2.579841375350952","15","15","15","1.025154709815979","1.025154709815979","1.025154709815979","15","15","15","0.971901535987854","0.971901535987854","0.971901535987854","15","15","15","0.9806358218193054","0.9806358218193054","0.9806358218193054"
"1600","8","8","8","2.2716128826141357","2.2716128826141357","2.2716128826141357","8","8","8","2.4528167247772217","2.4528167247772217","2.4528167247772217","8","8","8","2.4913039207458496","2.4913039207458496","2.4913039207458496","17","17","17","0.9311296939849854","0.9311296939849854","0.9311296939849854","17","17","17","0.9284328818321228","0.9284328818321228","0.9284328818321228","17","17","17","0.9244648218154907","0.9244648218154907","0.9244648218154907"
"1800","9","9","9","2.7964839935302734","2.7964839935302734","2.7964839935302734","9","9","9","2.75083065032959","2.75083065032959","2.75083065032959","9","9","9","3.1873388290405273","3.1873388290405273","3.1873388290405273","19","19","19","0.8733952641487122","0.8733952641487122","0.8733952641487122","19","19","19","0.8689663410186768","0.8689663410186768","0.8689663410186768","19","19","19","0.8713606595993042","0.8713606595993042","0.8713606595993042"
