"step","raschka_gpu_45887 - _step","raschka_gpu_45887 - _step__MIN","raschka_gpu_45887 - _step__MAX","raschka_gpu_45887 - time_per_step_ms","raschka_gpu_45887 - time_per_step_ms__MIN","raschka_gpu_45887 - time_per_step_ms__MAX","raschka_gpu_5678 - _step","raschka_gpu_5678 - _step__MIN","raschka_gpu_5678 - _step__MAX","raschka_gpu_5678 - time_per_step_ms","raschka_gpu_5678 - time_per_step_ms__MIN","raschka_gpu_5678 - time_per_step_ms__MAX","raschka_gpu_123 - _step","raschka_gpu_123 - _step__MIN","raschka_gpu_123 - _step__MAX","raschka_gpu_123 - time_per_step_ms","raschka_gpu_123 - time_per_step_ms__MIN","raschka_gpu_123 - time_per_step_ms__MAX","karpathy_gpu_45887 - _step","karpathy_gpu_45887 - _step__MIN","karpathy_gpu_45887 - _step__MAX","karpathy_gpu_45887 - time_per_step_ms","karpathy_gpu_45887 - time_per_step_ms__MIN","karpathy_gpu_45887 - time_per_step_ms__MAX","karpathy_gpu_5678 - _step","karpathy_gpu_5678 - _step__MIN","karpathy_gpu_5678 - _step__MAX","karpathy_gpu_5678 - time_per_step_ms","karpathy_gpu_5678 - time_per_step_ms__MIN","karpathy_gpu_5678 - time_per_step_ms__MAX","karpathy_gpu_123 - _step","karpathy_gpu_123 - _step__MIN","karpathy_gpu_123 - _step__MAX","karpathy_gpu_123 - time_per_step_ms","karpathy_gpu_123 - time_per_step_ms__MIN","karpathy_gpu_123 - time_per_step_ms__MAX"
"0","0","0","0","450.78158378601074","450.78158378601074","450.78158378601074","0","0","0","474.9014377593994","474.9014377593994","474.9014377593994","0","0","0","819.4758892059326","819.4758892059326","819.4758892059326","1","1","1","3677.2782802581787","3677.2782802581787","3677.2782802581787","1","1","1","3678.2937049865723","3678.2937049865723","3678.2937049865723","1","1","1","34657.29093551636","34657.29093551636","34657.29093551636"
"200","1","1","1","322.6957321166992","322.6957321166992","322.6957321166992","1","1","1","330.5964469909668","330.5964469909668","330.5964469909668","1","1","1","149.2598056793213","149.2598056793213","149.2598056793213","3","3","3","138.02194595336914","138.02194595336914","138.02194595336914","3","3","3","131.59823417663574","131.59823417663574","131.59823417663574","3","3","3","131.51264190673828","131.51264190673828","131.51264190673828"
"400","2","2","2","221.7276096343994","221.7276096343994","221.7276096343994","2","2","2","296.3225841522217","296.3225841522217","296.3225841522217","2","2","2","356.85157775878906","356.85157775878906","356.85157775878906","5","5","5","132.30109214782715","132.30109214782715","132.30109214782715","5","5","5","131.99448585510254","131.99448585510254","131.99448585510254","5","5","5","136.58452033996582","136.58452033996582","136.58452033996582"
"600","3","3","3","269.4506645202637","269.4506645202637","269.4506645202637","3","3","3","172.2884178161621","172.2884178161621","172.2884178161621","3","3","3","159.7278118133545","159.7278118133545","159.7278118133545","7","7","7","131.927490234375","131.927490234375","131.927490234375","7","7","7","131.4997673034668","131.4997673034668","131.4997673034668","7","7","7","132.2333812713623","132.2333812713623","132.2333812713623"
"800","4","4","4","395.7815170288086","395.7815170288086","395.7815170288086","4","4","4","318.7875747680664","318.7875747680664","318.7875747680664","4","4","4","225.77309608459473","225.77309608459473","225.77309608459473","9","9","9","134.84644889831543","134.84644889831543","134.84644889831543","9","9","9","135.00714302062988","135.00714302062988","135.00714302062988","9","9","9","137.06135749816895","137.06135749816895","137.06135749816895"
"1000","5","5","5","327.1012306213379","327.1012306213379","327.1012306213379","5","5","5","425.7504940032959","425.7504940032959","425.7504940032959","5","5","5","147.29809761047363","147.29809761047363","147.29809761047363","11","11","11","132.68375396728516","132.68375396728516","132.68375396728516","11","11","11","142.9767608642578","142.9767608642578","142.9767608642578","11","11","11","137.5141143798828","137.5141143798828","137.5141143798828"
"1200","6","6","6","366.8227195739746","366.8227195739746","366.8227195739746","6","6","6","364.56990242004395","364.56990242004395","364.56990242004395","6","6","6","365.2803897857666","365.2803897857666","365.2803897857666","13","13","13","132.4462890625","132.4462890625","132.4462890625","13","13","13","136.09838485717773","136.09838485717773","136.09838485717773","13","13","13","140.5491828918457","140.5491828918457","140.5491828918457"
"1400","7","7","7","428.68828773498535","428.68828773498535","428.68828773498535","7","7","7","131.73532485961914","131.73532485961914","131.73532485961914","7","7","7","483.1981658935547","483.1981658935547","483.1981658935547","15","15","15","134.3977451324463","134.3977451324463","134.3977451324463","15","15","15","139.95790481567383","139.95790481567383","139.95790481567383","15","15","15","141.83473587036133","141.83473587036133","141.83473587036133"
"1600","8","8","8","323.3003616333008","323.3003616333008","323.3003616333008","8","8","8","261.857271194458","261.857271194458","261.857271194458","8","8","8","157.84454345703125","157.84454345703125","157.84454345703125","17","17","17","132.50255584716797","132.50255584716797","132.50255584716797","17","17","17","136.51084899902344","136.51084899902344","136.51084899902344","17","17","17","133.1501007080078","133.1501007080078","133.1501007080078"
"1800","9","9","9","185.73307991027832","185.73307991027832","185.73307991027832","9","9","9","312.2141361236572","312.2141361236572","312.2141361236572","9","9","9","137.12239265441895","137.12239265441895","137.12239265441895","19","19","19","135.67352294921875","135.67352294921875","135.67352294921875","19","19","19","139.662504196167","139.662504196167","139.662504196167","19","19","19","133.2721710205078","133.2721710205078","133.2721710205078"
