"step","raschka_gpu_45887 - _step","raschka_gpu_45887 - _step__MIN","raschka_gpu_45887 - _step__MAX","raschka_gpu_45887 - memory_usage","raschka_gpu_45887 - memory_usage__MIN","raschka_gpu_45887 - memory_usage__MAX","raschka_gpu_5678 - _step","raschka_gpu_5678 - _step__MIN","raschka_gpu_5678 - _step__MAX","raschka_gpu_5678 - memory_usage","raschka_gpu_5678 - memory_usage__MIN","raschka_gpu_5678 - memory_usage__MAX","raschka_gpu_123 - _step","raschka_gpu_123 - _step__MIN","raschka_gpu_123 - _step__MAX","raschka_gpu_123 - memory_usage","raschka_gpu_123 - memory_usage__MIN","raschka_gpu_123 - memory_usage__MAX","karpathy_gpu_45887 - _step","karpathy_gpu_45887 - _step__MIN","karpathy_gpu_45887 - _step__MAX","karpathy_gpu_45887 - memory_usage","karpathy_gpu_45887 - memory_usage__MIN","karpathy_gpu_45887 - memory_usage__MAX","karpathy_gpu_5678 - _step","karpathy_gpu_5678 - _step__MIN","karpathy_gpu_5678 - _step__MAX","karpathy_gpu_5678 - memory_usage","karpathy_gpu_5678 - memory_usage__MIN","karpathy_gpu_5678 - memory_usage__MAX","karpathy_gpu_123 - _step","karpathy_gpu_123 - _step__MIN","karpathy_gpu_123 - _step__MAX","karpathy_gpu_123 - memory_usage","karpathy_gpu_123 - memory_usage__MIN","karpathy_gpu_123 - memory_usage__MAX"
"0","0","0","0","3440.12353515625","3440.12353515625","3440.12353515625","0","0","0","3421.35986328125","3421.35986328125","3421.35986328125","0","0","0","4142.56591796875","4142.56591796875","4142.56591796875","1","1","1","2767.1376953125","2767.1376953125","2767.1376953125","1","1","1","2767.1376953125","2767.1376953125","2767.1376953125","1","1","1","2769.2626953125","2769.2626953125","2769.2626953125"
"200","1","1","1","3744.8701171875","3744.8701171875","3744.8701171875","1","1","1","3768.91796875","3768.91796875","3768.91796875","1","1","1","3352.88671875","3352.88671875","3352.88671875","3","3","3","2761.3876953125","2761.3876953125","2761.3876953125","3","3","3","2761.3876953125","2761.3876953125","2761.3876953125","3","3","3","2764.775390625","2764.775390625","2764.775390625"
"400","2","2","2","3521.9267578125","3521.9267578125","3521.9267578125","2","2","2","3680.9384765625","3680.9384765625","3680.9384765625","2","2","2","3794.78662109375","3794.78662109375","3794.78662109375","5","5","5","2761.3876953125","2761.3876953125","2761.3876953125","5","5","5","2761.3876953125","2761.3876953125","2761.3876953125","5","5","5","2764.775390625","2764.775390625","2764.775390625"
"600","3","3","3","3608.552734375","3608.552734375","3608.552734375","3","3","3","3410.87060546875","3410.87060546875","3410.87060546875","3","3","3","3385.58056640625","3385.58056640625","3385.58056640625","7","7","7","2761.3876953125","2761.3876953125","2761.3876953125","7","7","7","2761.3876953125","2761.3876953125","2761.3876953125","7","7","7","2764.775390625","2764.775390625","2764.775390625"
"800","4","4","4","3752.44189453125","3752.44189453125","3752.44189453125","4","4","4","3595.76220703125","3595.76220703125","3595.76220703125","4","4","4","3365.115234375","3365.115234375","3365.115234375","9","9","9","2761.3876953125","2761.3876953125","2761.3876953125","9","9","9","2761.3876953125","2761.3876953125","2761.3876953125","9","9","9","2764.775390625","2764.775390625","2764.775390625"
"1000","5","5","5","3751.50634765625","3751.50634765625","3751.50634765625","5","5","5","3941.1396484375","3941.1396484375","3941.1396484375","5","5","5","3346.34619140625","3346.34619140625","3346.34619140625","11","11","11","2761.3876953125","2761.3876953125","2761.3876953125","11","11","11","2761.3876953125","2761.3876953125","2761.3876953125","11","11","11","2764.775390625","2764.775390625","2764.775390625"
"1200","6","6","6","3828.41552734375","3828.41552734375","3828.41552734375","6","6","6","3830.76123046875","3830.76123046875","3830.76123046875","6","6","6","3808.1787109375","3808.1787109375","3808.1787109375","13","13","13","2761.3876953125","2761.3876953125","2761.3876953125","13","13","13","2761.3876953125","2761.3876953125","2761.3876953125","13","13","13","2764.775390625","2764.775390625","2764.775390625"
"1400","7","7","7","3956.12451171875","3956.12451171875","3956.12451171875","7","7","7","3306.81640625","3306.81640625","3306.81640625","7","7","7","4045.0712890625","4045.0712890625","4045.0712890625","15","15","15","2761.3876953125","2761.3876953125","2761.3876953125","15","15","15","2761.3876953125","2761.3876953125","2761.3876953125","15","15","15","2764.775390625","2764.775390625","2764.775390625"
"1600","8","8","8","3743.6123046875","3743.6123046875","3743.6123046875","8","8","8","3599.7548828125","3599.7548828125","3599.7548828125","8","8","8","3373.79931640625","3373.79931640625","3373.79931640625","17","17","17","2761.3876953125","2761.3876953125","2761.3876953125","17","17","17","2761.3876953125","2761.3876953125","2761.3876953125","17","17","17","2764.775390625","2764.775390625","2764.775390625"
"1800","9","9","9","3434.048828125","3434.048828125","3434.048828125","9","9","9","3719.49951171875","3719.49951171875","3719.49951171875","9","9","9","3329.0849609375","3329.0849609375","3329.0849609375","19","19","19","2761.3876953125","2761.3876953125","2761.3876953125","19","19","19","2761.3876953125","2761.3876953125","2761.3876953125","19","19","19","2764.775390625","2764.775390625","2764.775390625"
