"step","raschka_gpu_45887 - _step","raschka_gpu_45887 - _step__MIN","raschka_gpu_45887 - _step__MAX","raschka_gpu_45887 - train_accuracy","raschka_gpu_45887 - train_accuracy__MIN","raschka_gpu_45887 - train_accuracy__MAX","raschka_gpu_5678 - _step","raschka_gpu_5678 - _step__MIN","raschka_gpu_5678 - _step__MAX","raschka_gpu_5678 - train_accuracy","raschka_gpu_5678 - train_accuracy__MIN","raschka_gpu_5678 - train_accuracy__MAX","raschka_gpu_123 - _step","raschka_gpu_123 - _step__MIN","raschka_gpu_123 - _step__MAX","raschka_gpu_123 - train_accuracy","raschka_gpu_123 - train_accuracy__MIN","raschka_gpu_123 - train_accuracy__MAX","karpathy_gpu_45887 - _step","karpathy_gpu_45887 - _step__MIN","karpathy_gpu_45887 - _step__MAX","karpathy_gpu_45887 - train_accuracy","karpathy_gpu_45887 - train_accuracy__MIN","karpathy_gpu_45887 - train_accuracy__MAX","karpathy_gpu_5678 - _step","karpathy_gpu_5678 - _step__MIN","karpathy_gpu_5678 - _step__MAX","karpathy_gpu_5678 - train_accuracy","karpathy_gpu_5678 - train_accuracy__MIN","karpathy_gpu_5678 - train_accuracy__MAX","karpathy_gpu_123 - _step","karpathy_gpu_123 - _step__MIN","karpathy_gpu_123 - _step__MAX","karpathy_gpu_123 - train_accuracy","karpathy_gpu_123 - train_accuracy__MIN","karpathy_gpu_123 - train_accuracy__MAX"
"0","0","0","0","0.47555866837501526","0.47555866837501526","0.47555866837501526","0","0","0","0.46786922216415405","0.46786922216415405","0.46786922216415405","0","0","0","0.48477262258529663","0.48477262258529663","0.48477262258529663","1","1","1","0.4764404296875","0.4764404296875","0.4764404296875","1","1","1","0.4764404296875","0.4764404296875","0.4764404296875","1","1","1","0.4764404296875","0.4764404296875","0.4764404296875"
"200","1","1","1","0.574064314365387","0.574064314365387","0.574064314365387","1","1","1","0.5792322754859924","0.5792322754859924","0.5792322754859924","1","1","1","0.5373831987380981","0.5373831987380981","0.5373831987380981","3","3","3","0.541015625","0.541015625","0.541015625","3","3","3","0.5452880859375","0.5452880859375","0.5452880859375","3","3","3","0.54150390625","0.54150390625","0.54150390625"
"400","2","2","2","0.5810895562171936","0.5810895562171936","0.5810895562171936","2","2","2","0.5810446739196777","0.5810446739196777","0.5810446739196777","2","2","2","0.589540421962738","0.589540421962738","0.589540421962738","5","5","5","0.5489501953125","0.5489501953125","0.5489501953125","5","5","5","0.5562744140625","0.5562744140625","0.5562744140625","5","5","5","0.55615234375","0.55615234375","0.55615234375"
"600","3","3","3","0.5506948232650757","0.5506948232650757","0.5506948232650757","3","3","3","0.5570341944694519","0.5570341944694519","0.5570341944694519","3","3","3","0.5842541456222534","0.5842541456222534","0.5842541456222534","7","7","7","0.58251953125","0.58251953125","0.58251953125","7","7","7","0.585205078125","0.585205078125","0.585205078125","7","7","7","0.5860595703125","0.5860595703125","0.5860595703125"
"800","4","4","4","0.564200222492218","0.564200222492218","0.564200222492218","4","4","4","0.5659914016723633","0.5659914016723633","0.5659914016723633","4","4","4","0.5836109519004822","0.5836109519004822","0.5836109519004822","9","9","9","0.561279296875","0.561279296875","0.561279296875","9","9","9","0.563232421875","0.563232421875","0.563232421875","9","9","9","0.5645751953125","0.5645751953125","0.5645751953125"
"1000","5","5","5","0.5630607008934021","0.5630607008934021","0.5630607008934021","5","5","5","0.5762049555778503","0.5762049555778503","0.5762049555778503","5","5","5","0.5602493286132812","0.5602493286132812","0.5602493286132812","11","11","11","0.570556640625","0.570556640625","0.570556640625","11","11","11","0.57177734375","0.57177734375","0.57177734375","11","11","11","0.5718994140625","0.5718994140625","0.5718994140625"
"1200","6","6","6","0.605117917060852","0.605117917060852","0.605117917060852","6","6","6","0.6091897487640381","0.6091897487640381","0.6091897487640381","6","6","6","0.5969441533088684","0.5969441533088684","0.5969441533088684","13","13","13","0.587158203125","0.587158203125","0.587158203125","13","13","13","0.591796875","0.591796875","0.591796875","13","13","13","0.5931396484375","0.5931396484375","0.5931396484375"
"1400","7","7","7","0.5768900513648987","0.5768900513648987","0.5768900513648987","7","7","7","0.5808980464935303","0.5808980464935303","0.5808980464935303","7","7","7","0.5711973905563354","0.5711973905563354","0.5711973905563354","15","15","15","0.5965576171875","0.5965576171875","0.5965576171875","15","15","15","0.5997314453125","0.5997314453125","0.5997314453125","15","15","15","0.5994873046875","0.5994873046875","0.5994873046875"
"1600","8","8","8","0.604619562625885","0.604619562625885","0.604619562625885","8","8","8","0.5938812494277954","0.5938812494277954","0.5938812494277954","8","8","8","0.5815324187278748","0.5815324187278748","0.5815324187278748","17","17","17","0.5992431640625","0.5992431640625","0.5992431640625","17","17","17","0.6016845703125","0.6016845703125","0.6016845703125","17","17","17","0.6026611328125","0.6026611328125","0.6026611328125"
"1800","9","9","9","0.5677018761634827","0.5677018761634827","0.5677018761634827","9","9","9","0.5980392098426819","0.5980392098426819","0.5980392098426819","9","9","9","0.5492040514945984","0.5492040514945984","0.5492040514945984","19","19","19","0.5948486328125","0.5948486328125","0.5948486328125","19","19","19","0.5948486328125","0.5948486328125","0.5948486328125","19","19","19","0.595458984375","0.595458984375","0.595458984375"
"2000","10","10","10","0.5898876190185547","0.5898876190185547","0.5898876190185547","10","10","10","0.6175653338432312","0.6175653338432312","0.6175653338432312","10","10","10","0.6109873652458191","0.6109873652458191","0.6109873652458191","21","21","21","0.60400390625","0.60400390625","0.60400390625","21","21","21","0.6044921875","0.6044921875","0.6044921875","21","21","21","0.6053466796875","0.6053466796875","0.6053466796875"
"2200","11","11","11","0.5629838109016418","0.5629838109016418","0.5629838109016418","11","11","11","0.57356196641922","0.57356196641922","0.57356196641922","11","11","11","0.609673798084259","0.609673798084259","0.609673798084259","23","23","23","0.6239013671875","0.6239013671875","0.6239013671875","23","23","23","0.6268310546875","0.6268310546875","0.6268310546875","23","23","23","0.62646484375","0.62646484375","0.62646484375"
"2400","12","12","12","0.5967286825180054","0.5967286825180054","0.5967286825180054","12","12","12","0.6057560443878174","0.6057560443878174","0.6057560443878174","12","12","12","0.6112266182899475","0.6112266182899475","0.6112266182899475","25","25","25","0.60888671875","0.60888671875","0.60888671875","25","25","25","0.61181640625","0.61181640625","0.61181640625","25","25","25","0.6121826171875","0.6121826171875","0.6121826171875"
"2600","13","13","13","0.6002638339996338","0.6002638339996338","0.6002638339996338","13","13","13","0.5848656296730042","0.5848656296730042","0.5848656296730042","13","13","13","0.6267942786216736","0.6267942786216736","0.6267942786216736","27","27","27","0.623046875","0.623046875","0.623046875","27","27","27","0.62451171875","0.62451171875","0.62451171875","27","27","27","0.62353515625","0.62353515625","0.62353515625"
