"step","raschka_gpu_45887 - _step","raschka_gpu_45887 - _step__MIN","raschka_gpu_45887 - _step__MAX","raschka_gpu_45887 - train_loss","raschka_gpu_45887 - train_loss__MIN","raschka_gpu_45887 - train_loss__MAX","raschka_gpu_5678 - _step","raschka_gpu_5678 - _step__MIN","raschka_gpu_5678 - _step__MAX","raschka_gpu_5678 - train_loss","raschka_gpu_5678 - train_loss__MIN","raschka_gpu_5678 - train_loss__MAX","raschka_gpu_123 - _step","raschka_gpu_123 - _step__MIN","raschka_gpu_123 - _step__MAX","raschka_gpu_123 - train_loss","raschka_gpu_123 - train_loss__MIN","raschka_gpu_123 - train_loss__MAX","karpathy_gpu_45887 - _step","karpathy_gpu_45887 - _step__MIN","karpathy_gpu_45887 - _step__MAX","karpathy_gpu_45887 - train_loss","karpathy_gpu_45887 - train_loss__MIN","karpathy_gpu_45887 - train_loss__MAX","karpathy_gpu_5678 - _step","karpathy_gpu_5678 - _step__MIN","karpathy_gpu_5678 - _step__MAX","karpathy_gpu_5678 - train_loss","karpathy_gpu_5678 - train_loss__MIN","karpathy_gpu_5678 - train_loss__MAX","karpathy_gpu_123 - _step","karpathy_gpu_123 - _step__MIN","karpathy_gpu_123 - _step__MAX","karpathy_gpu_123 - train_loss","karpathy_gpu_123 - train_loss__MIN","karpathy_gpu_123 - train_loss__MAX"
"0","0","0","0","2.288512182235718","2.288512182235718","2.288512182235718","0","0","0","2.229971408843994","2.229971408843994","2.229971408843994","0","0","0","2.209324836730957","2.209324836730957","2.209324836730957","1","1","1","2.3350939750671387","2.3350939750671387","2.3350939750671387","1","1","1","2.3350939750671387","2.3350939750671387","2.3350939750671387","1","1","1","2.3350939750671387","2.3350939750671387","2.3350939750671387"
"200","1","1","1","1.770890998840332","1.770890998840332","1.770890998840332","1","1","1","1.8239749193191528","1.8239749193191528","1.8239749193191528","1","1","1","1.7936294555664063","1.7936294555664063","1.7936294555664063","3","3","3","1.9672497510910034","1.9672497510910034","1.9672497510910034","3","3","3","1.949942946434021","1.949942946434021","1.949942946434021","3","3","3","1.949737787246704","1.949737787246704","1.949737787246704"
"400","2","2","2","1.8007709741592408","1.8007709741592408","1.8007709741592408","2","2","2","1.740385317802429","1.740385317802429","1.740385317802429","2","2","2","1.7151203393936156","1.7151203393936156","1.7151203393936156","5","5","5","1.8647661209106445","1.8647661209106445","1.8647661209106445","5","5","5","1.843033790588379","1.843033790588379","1.843033790588379","5","5","5","1.8423999547958374","1.8423999547958374","1.8423999547958374"
"600","3","3","3","1.6959315538406372","1.6959315538406372","1.6959315538406372","3","3","3","1.7067387580871582","1.7067387580871582","1.7067387580871582","3","3","3","1.6679686307907104","1.6679686307907104","1.6679686307907104","7","7","7","1.6966607570648193","1.6966607570648193","1.6966607570648193","7","7","7","1.679919719696045","1.679919719696045","1.679919719696045","7","7","7","1.6790375709533691","1.6790375709533691","1.6790375709533691"
"800","4","4","4","1.667407464981079","1.667407464981079","1.667407464981079","4","4","4","1.6939528942108155","1.6939528942108155","1.6939528942108155","4","4","4","1.6573514461517334","1.6573514461517334","1.6573514461517334","9","9","9","1.7995693683624268","1.7995693683624268","1.7995693683624268","9","9","9","1.7777187824249268","1.7777187824249268","1.7777187824249268","9","9","9","1.7791954278945923","1.7791954278945923","1.7791954278945923"
"1000","5","5","5","1.6319241523742676","1.6319241523742676","1.6319241523742676","5","5","5","1.6448858976364136","1.6448858976364136","1.6448858976364136","5","5","5","1.6193712949752808","1.6193712949752808","1.6193712949752808","11","11","11","1.7240407466888428","1.7240407466888428","1.7240407466888428","11","11","11","1.7059130668640137","1.7059130668640137","1.7059130668640137","11","11","11","1.7050368785858154","1.7050368785858154","1.7050368785858154"
"1200","6","6","6","1.6514164924621582","1.6514164924621582","1.6514164924621582","6","6","6","1.6606109142303467","1.6606109142303467","1.6606109142303467","6","6","6","1.7184667110443115","1.7184667110443115","1.7184667110443115","13","13","13","1.6152939796447754","1.6152939796447754","1.6152939796447754","13","13","13","1.5992035865783691","1.5992035865783691","1.5992035865783691","13","13","13","1.5989365577697754","1.5989365577697754","1.5989365577697754"
"1400","7","7","7","1.5996897220611572","1.5996897220611572","1.5996897220611572","7","7","7","1.6401155948638917","1.6401155948638917","1.6401155948638917","7","7","7","1.5768985986709594","1.5768985986709594","1.5768985986709594","15","15","15","1.6114821434020996","1.6114821434020996","1.6114821434020996","15","15","15","1.5932507514953613","1.5932507514953613","1.5932507514953613","15","15","15","1.5938798189163208","1.5938798189163208","1.5938798189163208"
"1600","8","8","8","1.6518095016479493","1.6518095016479493","1.6518095016479493","8","8","8","1.6001866102218627","1.6001866102218627","1.6001866102218627","8","8","8","1.5051470518112182","1.5051470518112182","1.5051470518112182","17","17","17","1.5725517272949219","1.5725517272949219","1.5725517272949219","17","17","17","1.558882713317871","1.558882713317871","1.558882713317871","17","17","17","1.5565000772476196","1.5565000772476196","1.5565000772476196"
"1800","9","9","9","1.5263761281967163","1.5263761281967163","1.5263761281967163","9","9","9","1.589146113395691","1.589146113395691","1.589146113395691","9","9","9","1.5934624910354613","1.5934624910354613","1.5934624910354613","19","19","19","1.5799987316131592","1.5799987316131592","1.5799987316131592","19","19","19","1.5716595649719238","1.5716595649719238","1.5716595649719238","19","19","19","1.5720062255859375","1.5720062255859375","1.5720062255859375"
