"step","raschka_gpu_45887 - _step","raschka_gpu_45887 - _step__MIN","raschka_gpu_45887 - _step__MAX","raschka_gpu_45887 - train_perplexity","raschka_gpu_45887 - train_perplexity__MIN","raschka_gpu_45887 - train_perplexity__MAX","raschka_gpu_5678 - _step","raschka_gpu_5678 - _step__MIN","raschka_gpu_5678 - _step__MAX","raschka_gpu_5678 - train_perplexity","raschka_gpu_5678 - train_perplexity__MIN","raschka_gpu_5678 - train_perplexity__MAX","raschka_gpu_123 - _step","raschka_gpu_123 - _step__MIN","raschka_gpu_123 - _step__MAX","raschka_gpu_123 - train_perplexity","raschka_gpu_123 - train_perplexity__MIN","raschka_gpu_123 - train_perplexity__MAX","karpathy_gpu_45887 - _step","karpathy_gpu_45887 - _step__MIN","karpathy_gpu_45887 - _step__MAX","karpathy_gpu_45887 - train_perplexity","karpathy_gpu_45887 - train_perplexity__MIN","karpathy_gpu_45887 - train_perplexity__MAX","karpathy_gpu_5678 - _step","karpathy_gpu_5678 - _step__MIN","karpathy_gpu_5678 - _step__MAX","karpathy_gpu_5678 - train_perplexity","karpathy_gpu_5678 - train_perplexity__MIN","karpathy_gpu_5678 - train_perplexity__MAX","karpathy_gpu_123 - _step","karpathy_gpu_123 - _step__MIN","karpathy_gpu_123 - _step__MAX","karpathy_gpu_123 - train_perplexity","karpathy_gpu_123 - train_perplexity__MIN","karpathy_gpu_123 - train_perplexity__MAX"
"0","0","0","0","9.860257148742676","9.860257148742676","9.860257148742676","0","0","0","9.299600601196289","9.299600601196289","9.299600601196289","0","0","0","9.109563827514648","9.109563827514648","9.109563827514648","1","1","1","10.33043098449707","10.33043098449707","10.33043098449707","1","1","1","10.33043098449707","10.33043098449707","10.33043098449707","1","1","1","10.33043098449707","10.33043098449707","10.33043098449707"
"200","1","1","1","5.876086235046387","5.876086235046387","5.876086235046387","1","1","1","6.19644021987915","6.19644021987915","6.19644021987915","1","1","1","6.011229991912842","6.011229991912842","6.011229991912842","3","3","3","7.150982856750488","7.150982856750488","7.150982856750488","3","3","3","7.028286933898926","7.028286933898926","7.028286933898926","3","3","3","7.026845455169678","7.026845455169678","7.026845455169678"
"400","2","2","2","6.054313659667969","6.054313659667969","6.054313659667969","2","2","2","5.6995391845703125","5.6995391845703125","5.6995391845703125","2","2","2","5.55734395980835","5.55734395980835","5.55734395980835","5","5","5","6.454426288604736","6.454426288604736","6.454426288604736","5","5","5","6.315669536590576","6.315669536590576","6.315669536590576","5","5","5","6.311668395996094","6.311668395996094","6.311668395996094"
"600","3","3","3","5.451722145080566","5.451722145080566","5.451722145080566","3","3","3","5.510959148406982","5.510959148406982","5.510959148406982","3","3","3","5.301387786865234","5.301387786865234","5.301387786865234","7","7","7","5.4556989669799805","5.4556989669799805","5.4556989669799805","7","7","7","5.3651251792907715","5.3651251792907715","5.3651251792907715","7","7","7","5.360394477844238","5.360394477844238","5.360394477844238"
"800","4","4","4","5.2984137535095215","5.2984137535095215","5.2984137535095215","4","4","4","5.440945625305176","5.440945625305176","5.440945625305176","4","4","4","5.2453999519348145","5.2453999519348145","5.2453999519348145","9","9","9","6.0470428466796875","6.0470428466796875","6.0470428466796875","9","9","9","5.91634464263916","5.91634464263916","5.91634464263916","9","9","9","5.925086975097656","5.925086975097656","5.925086975097656"
"1000","5","5","5","5.113704681396484","5.113704681396484","5.113704681396484","5","5","5","5.180418968200684","5.180418968200684","5.180418968200684","5","5","5","5.049914360046387","5.049914360046387","5.049914360046387","11","11","11","5.607139587402344","5.607139587402344","5.607139587402344","11","11","11","5.506411075592041","5.506411075592041","5.506411075592041","11","11","11","5.501588344573975","5.501588344573975","5.501588344573975"
"1200","6","6","6","5.214361190795898","5.214361190795898","5.214361190795898","6","6","6","5.262524604797363","5.262524604797363","5.262524604797363","6","6","6","5.575972557067871","5.575972557067871","5.575972557067871","13","13","13","5.029366493225098","5.029366493225098","5.029366493225098","13","13","13","4.949089050292969","4.949089050292969","4.949089050292969","13","13","13","4.947768211364746","4.947768211364746","4.947768211364746"
"1400","7","7","7","4.95149564743042","4.95149564743042","4.95149564743042","7","7","7","5.155765533447266","5.155765533447266","5.155765533447266","7","7","7","4.839921951293945","4.839921951293945","4.839921951293945","15","15","15","5.010231971740723","5.010231971740723","5.010231971740723","15","15","15","4.919715881347656","4.919715881347656","4.919715881347656","15","15","15","4.922811508178711","4.922811508178711","4.922811508178711"
"1600","8","8","8","5.216410160064697","5.216410160064697","5.216410160064697","8","8","8","4.953956604003906","4.953956604003906","4.953956604003906","8","8","8","4.504816055297852","4.504816055297852","4.504816055297852","17","17","17","4.818929195404053","4.818929195404053","4.818929195404053","17","17","17","4.753507137298584","4.753507137298584","4.753507137298584","17","17","17","4.742195129394531","4.742195129394531","4.742195129394531"
"1800","9","9","9","4.601471424102783","4.601471424102783","4.601471424102783","9","9","9","4.899563789367676","4.899563789367676","4.899563789367676","9","9","9","4.920757293701172","4.920757293701172","4.920757293701172","19","19","19","4.854949474334717","4.854949474334717","4.854949474334717","19","19","19","4.814631938934326","4.814631938934326","4.814631938934326","19","19","19","4.816300868988037","4.816300868988037","4.816300868988037"
"2000","10","10","10","4.814452171325684","4.814452171325684","4.814452171325684","10","10","10","4.852828025817871","4.852828025817871","4.852828025817871","10","10","10","4.8756561279296875","4.8756561279296875","4.8756561279296875","21","21","21","4.665445804595947","4.665445804595947","4.665445804595947","21","21","21","4.620944976806641","4.620944976806641","4.620944976806641","21","21","21","4.621599197387695","4.621599197387695","4.621599197387695"
"2200","11","11","11","4.579763412475586","4.579763412475586","4.579763412475586","11","11","11","5.457668781280518","5.457668781280518","5.457668781280518","11","11","11","4.525504112243652","4.525504112243652","4.525504112243652","23","23","23","4.271114826202393","4.271114826202393","4.271114826202393","23","23","23","4.219165802001953","4.219165802001953","4.219165802001953","23","23","23","4.2204976081848145","4.2204976081848145","4.2204976081848145"
"2400","12","12","12","4.804999828338623","4.804999828338623","4.804999828338623","12","12","12","5.484160900115967","5.484160900115967","5.484160900115967","12","12","12","4.6468963623046875","4.6468963623046875","4.6468963623046875","25","25","25","4.585557460784912","4.585557460784912","4.585557460784912","25","25","25","4.534507751464844","4.534507751464844","4.534507751464844","25","25","25","4.5370893478393555","4.5370893478393555","4.5370893478393555"
"2600","13","13","13","4.523935317993164","4.523935317993164","4.523935317993164","13","13","13","5.010405540466309","5.010405540466309","5.010405540466309","13","13","13","4.591207504272461","4.591207504272461","4.591207504272461","27","27","27","4.299544811248779","4.299544811248779","4.299544811248779","27","27","27","4.276567459106445","4.276567459106445","4.276567459106445","27","27","27","4.278367519378662","4.278367519378662","4.278367519378662"
"2800","14","14","14","4.7477312088012695","4.7477312088012695","4.7477312088012695","14","14","14","4.630984306335449","4.630984306335449","4.630984306335449","14","14","14","4.540167331695557","4.540167331695557","4.540167331695557","29","29","29","4.354183197021484","4.354183197021484","4.354183197021484","29","29","29","4.317039966583252","4.317039966583252","4.317039966583252","29","29","29","4.313808917999268","4.313808917999268","4.313808917999268"
"3000","15","15","15","4.305694580078125","4.305694580078125","4.305694580078125","15","15","15","4.592013359069824","4.592013359069824","4.592013359069824","15","15","15","4.586893558502197","4.586893558502197","4.586893558502197","31","31","31","4.575454235076904","4.575454235076904","4.575454235076904","31","31","31","4.53743839263916","4.53743839263916","4.53743839263916","31","31","31","4.535042762756348","4.535042762756348","4.535042762756348"
"3200","16","16","16","4.126290321350098","4.126290321350098","4.126290321350098","16","16","16","4.740920066833496","4.740920066833496","4.740920066833496","16","16","16","4.360039234161377","4.360039234161377","4.360039234161377","33","33","33","3.9604971408843994","3.9604971408843994","3.9604971408843994","33","33","33","3.9256184101104736","3.9256184101104736","3.9256184101104736","33","33","33","3.9246153831481934","3.9246153831481934","3.9246153831481934"
"3400","17","17","17","4.756768226623535","4.756768226623535","4.756768226623535","17","17","17","4.2989325523376465","4.2989325523376465","4.2989325523376465","17","17","17","4.488762855529785","4.488762855529785","4.488762855529785","35","35","35","4.154787063598633","4.154787063598633","4.154787063598633","35","35","35","4.1349897384643555","4.1349897384643555","4.1349897384643555","35","35","35","4.136317253112793","4.136317253112793","4.136317253112793"
"3600","18","18","18","4.229631423950195","4.229631423950195","4.229631423950195","18","18","18","4.669114589691162","4.669114589691162","4.669114589691162","18","18","18","4.550051689147949","4.550051689147949","4.550051689147949","37","37","37","3.896047353744507","3.896047353744507","3.896047353744507","37","37","37","3.8770835399627686","3.8770835399627686","3.8770835399627686","37","37","37","3.874626636505127","3.874626636505127","3.874626636505127"
